See original data: 
Section   Material 
and Evaluation Summary 
Interpreted ENDF file 

U-235(FY_cum)U-236,RNP   MAT=9228 MF=8 MT=459   Library: ENDF/B-VIII.0   

(n,FY_cum) Cumulative Fission-Product Yields
Fission-product yields are given for 3 incident neutron energies

Neutron energy =  2.5300E-02

   PRODUCT      ZAFP     FPS           Y          DY
 ----------- ------- ------- ----------- -----------
 23-V - 66    23066.      0.  2.0503E-19  1.3122E-19
 24-Cr- 66    24066.      0.  2.4098E-14  1.5423E-14
 24-Cr- 67    24067.      0.  0.0000E+00  0.0000E+00
 24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
 24-Cr- 69    24069.      0.  2.1082E-18  1.3492E-18
 24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
 25-Mn- 66    25066.      0.  7.2195E-12  4.6205E-12
 25-Mn- 67    25067.      0.  5.3796E-12  3.4430E-12
 25-Mn- 68    25068.      0.  6.6595E-13  4.2621E-13
 25-Mn- 69    25069.      0.  8.0294E-14  5.1388E-14
 25-Mn- 70    25070.      0.  0.0000E+00  0.0000E+00
 25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
 25-Mn- 72    25072.      0.  6.0829E-18  3.8930E-18
 25-Mn- 73    25073.      0.  6.4107E-19  4.1029E-19
 26-Fe- 66    26066.      0.  3.8297E-10  2.4510E-10
 26-Fe- 67    26067.      0.  6.9195E-10  4.4285E-10
 26-Fe- 68    26068.      0.  3.9197E-10  2.5086E-10
 26-Fe- 69    26069.      0.  1.2199E-10  7.8074E-11
 26-Fe- 70    26070.      0.  3.2398E-11  2.0734E-11
 26-Fe- 71    26071.      0.  4.9197E-12  3.1486E-12
 26-Fe- 72    26072.      0.  7.1495E-13  4.5757E-13
 26-Fe- 73    26073.      0.  5.5396E-14  3.5453E-14
 26-Fe- 74    26074.      0.  0.0000E+00  0.0000E+00
 26-Fe- 75    26075.      0.  1.0003E-16  6.4017E-17
 26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
 27-Co- 66    27066.      0.  6.6395E-10  2.9878E-10
 27-Co- 67    27067.      0.  2.6998E-09  1.7279E-09
 27-Co- 68    27068.      0.  2.8598E-09  1.8303E-09
 27-Co- 69    27069.      0.  3.3698E-09  2.1566E-09
 27-Co- 70    27070.      0.  2.1299E-09  1.3631E-09
 27-Co- 71    27071.      0.  1.4899E-09  9.5353E-10
 27-Co- 72    27072.      0.  5.8096E-10  3.7181E-10
 27-Co- 73    27073.      0.  2.2098E-10  1.4143E-10
 27-Co- 74    27074.      0.  2.9998E-11  1.9199E-11
 27-Co- 75    27075.      0.  3.8097E-12  2.4382E-12
 27-Co- 76    27076.      0.  2.5298E-13  1.6191E-13
 27-Co- 77    27077.      0.  6.5264E-15  4.1769E-15
 27-Co- 78    27078.      0.  4.2793E-16  2.7388E-16
 28-Ni- 66    28066.      0.  7.2095E-10  2.3070E-10
 28-Ni- 67    28067.      0.  3.5998E-09  1.6199E-09
 28-Ni- 68    28068.      0.  7.0495E-09  4.5117E-09
 28-Ni- 69    28069.      0.  1.4599E-08  9.3433E-09
 28-Ni- 70    28070.      0.  2.9998E-08  1.9199E-08
 28-Ni- 71    28071.      0.  4.4997E-08  2.8798E-08
 28-Ni- 72    28072.      0.  7.6595E-08  4.9020E-08
 28-Ni- 73    28073.      0.  7.1595E-08  4.5821E-08
 28-Ni- 74    28074.      0.  4.5797E-08  2.9310E-08
 28-Ni- 75    28075.      0.  1.5299E-08  9.7913E-09
 28-Ni- 76    28076.      0.  5.0197E-09  3.2126E-09
 28-Ni- 77    28077.      0.  5.6396E-10  3.6093E-10
 28-Ni- 78    28078.      0.  5.0296E-11  3.2190E-11
 28-Ni- 80    28080.      0.  1.5599E-14  9.9833E-15
 28-Ni- 82    28082.      0.  0.0000E+00  0.0000E+00
 29-Cu- 66    29066.      0.  7.2195E-10  2.3102E-10
 29-Cu- 67    29067.      0.  3.6097E-09  1.1551E-09
 29-Cu- 68    29068.      0.  7.1195E-09  3.2038E-09
 29-Cu- 68-M  29068.      1.  7.3595E-11  4.7101E-11
 29-Cu- 69    29069.      0.  1.5699E-08  1.0047E-08
 29-Cu- 70    29070.      0.  1.6499E-08  1.0559E-08
 29-Cu- 70-M  29070.      1.  1.9399E-08  1.2415E-08
 29-Cu- 71    29071.      0.  7.9694E-08  5.1004E-08
 29-Cu- 72    29072.      0.  2.0399E-07  9.1794E-08
 29-Cu- 73    29073.      0.  5.4196E-07  3.4685E-07
 29-Cu- 74    29074.      0.  7.2795E-07  4.6589E-07
 29-Cu- 75    29075.      0.  1.0199E-06  6.5275E-07
 29-Cu- 76    29076.      0.  8.3294E-07  5.3308E-07
 29-Cu- 77    29077.      0.  4.4597E-07  2.8542E-07
 29-Cu- 78    29078.      0.  1.0899E-07  6.9755E-08
 29-Cu- 79    29079.      0.  0.0000E+00  0.0000E+00
 29-Cu- 80    29080.      0.  5.2496E-10  3.3598E-10
 29-Cu- 81    29081.      0.  0.0000E+00  0.0000E+00
 29-Cu- 82    29082.      0.  1.4799E-12  9.4713E-13
 29-Cu- 83    29083.      0.  7.3133E-15  4.6805E-15
 30-Zn- 66    30066.      0.  7.2195E-10  2.3102E-10
 30-Zn- 67    30067.      0.  3.6097E-09  8.3024E-10
 30-Zn- 68    30068.      0.  7.1595E-09  2.2910E-09
 30-Zn- 69    30069.      0.  1.5699E-08  7.0645E-09
 30-Zn- 69-M  30069.      1.  1.0599E-11  6.7835E-12
 30-Zn- 70    30070.      0.  3.6197E-08  8.3254E-09
 30-Zn- 71    30071.      0.  8.0494E-08  3.6222E-08
 30-Zn- 71-M  30071.      1.  3.2898E-09  2.1055E-09
 30-Zn- 72    30072.      0.  2.6498E-07  2.9148E-08
 30-Zn- 73    30073.      0.  1.0099E-06  6.4635E-07
 30-Zn- 74    30074.      0.  3.2398E-06  1.4579E-06
 30-Zn- 75    30075.      0.  8.6894E-06  9.5583E-07
 30-Zn- 76    30076.      0.  1.9209E-05  1.2293E-05
 30-Zn- 77    30077.      0.  3.1878E-05  2.0402E-05
 30-Zn- 78    30078.      0.  3.5758E-05  1.6091E-05
 30-Zn- 79    30079.      0.  1.6389E-05  7.3750E-06
 30-Zn- 80    30080.      0.  2.4198E-06  1.5487E-06
 30-Zn- 81    30081.      0.  0.0000E+00  0.0000E+00
 30-Zn- 82    30082.      0.  1.0799E-07  6.9115E-08
 30-Zn- 83    30083.      0.  6.3195E-10  4.0445E-10
 30-Zn- 84    30084.      0.  1.2199E-08  7.8074E-09
 30-Zn- 85    30085.      0.  1.5437E-13  9.8799E-14
 30-Zn- 86    30086.      0.  2.2798E-12  1.4591E-12
 31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
 31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
 31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
 31-Ga- 69    31069.      0.  1.5699E-08  5.0236E-09
 31-Ga- 70    31070.      0.  1.4699E-13  9.4073E-14
 31-Ga- 71    31071.      0.  8.3794E-08  2.6814E-08
 31-Ga- 72-M  31072.      1.  1.9299E-10  1.2351E-10
 31-Ga- 72    31072.      0.  2.6498E-07  1.6959E-07
 31-Ga- 73    31073.      0.  1.0199E-06  4.5897E-07
 31-Ga- 74-M  31074.      1.  2.5028E-06  1.6018E-06
 31-Ga- 74    31074.      0.  2.7541E-06  1.7626E-06
 31-Ga- 75    31075.      0.  1.0619E-05  1.6991E-06
 31-Ga- 76    31076.      0.  2.9668E-05  4.7469E-06
 31-Ga- 77    31077.      0.  7.2705E-05  7.9975E-06
 31-Ga- 78    31078.      0.  1.3876E-04  2.2202E-05
 31-Ga- 79    31079.      0.  1.8728E-04  2.0600E-05
 31-Ga- 80    31080.      0.  1.1948E-04  2.7481E-05
 31-Ga- 81    31081.      0.  8.1774E-05  1.3084E-05
 31-Ga- 82    31082.      0.  6.2726E-05  4.0144E-05
 31-Ga- 83    31083.      0.  1.9199E-06  1.2287E-06
 31-Ga- 84    31084.      0.  1.1068E-04  7.0837E-05
 31-Ga- 85    31085.      0.  5.8796E-09  3.7629E-09
 31-Ga- 86    31086.      0.  3.2798E-07  2.0990E-07
 31-Ga- 87    31087.      0.  2.5411E-10  1.6263E-10
 31-Ga- 88    31088.      0.  4.4239E-12  2.8313E-12
 32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
 32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
 32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
 32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
 32-Ge- 70    32070.      0.  1.4699E-13  9.4073E-14
 32-Ge- 71    32071.      0.  0.0000E+00  0.0000E+00
 32-Ge- 71-M  32071.      1.  0.0000E+00  0.0000E+00
 32-Ge- 72    32072.      0.  2.6498E-07  2.9148E-08
 32-Ge- 73    32073.      0.  1.0199E-06  2.3458E-07
 32-Ge- 73-M  32073.      1.  1.0199E-06  3.2638E-07
 32-Ge- 74    32074.      0.  3.3898E-06  7.7965E-07
 32-Ge- 75    32075.      0.  1.0669E-05  1.7071E-06
 32-Ge- 75-M  32075.      1.  4.6997E-07  7.5195E-08
 32-Ge- 76    32076.      0.  3.0968E-05  2.4774E-06
 32-Ge- 77    32077.      0.  2.8308E-05  9.0586E-06
 32-Ge- 77-M  32077.      1.  6.4865E-05  7.1352E-06
 32-Ge- 78    32078.      0.  2.0834E-04  4.7919E-05
 32-Ge- 79-M  32079.      1.  1.2598E-04  8.0631E-05
 32-Ge- 79    32079.      0.  2.9965E-04  1.9177E-04
 32-Ge- 80    32080.      0.  1.1464E-03  4.5856E-05
 32-Ge- 81    32081.      0.  1.3479E-03  5.3915E-05
 32-Ge- 82    32082.      0.  1.3153E-03  7.8915E-05
 32-Ge- 83    32083.      0.  4.7970E-04  3.0701E-04
 32-Ge- 84    32084.      0.  3.0063E-04  6.9145E-05
 32-Ge- 85    32085.      0.  2.1309E-05  1.3637E-05
 32-Ge- 86    32086.      0.  6.2870E-03  1.0059E-03
 32-Ge- 87    32087.      0.  2.1958E-05  1.4053E-05
 32-Ge- 88    32088.      0.  5.1996E-07  3.3278E-07
 32-Ge- 89    32089.      0.  4.0431E-11  2.5876E-11
 32-Ge- 90    32090.      0.  1.1707E-12  7.4926E-13
 32-Ge- 91    32091.      0.  6.1373E-14  3.9279E-14
 33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
 33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
 33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
 33-As- 73    33073.      0.  0.0000E+00  0.0000E+00
 33-As- 74    33074.      0.  1.6599E-13  1.0623E-13
 33-As- 74-M  33074.      1.  1.1599E-13  7.4235E-14
 33-As- 75    33075.      0.  1.0669E-05  1.1736E-06
 33-As- 76    33076.      0.  1.6499E-09  1.0559E-09
 33-As- 77    33077.      0.  7.9604E-05  8.7565E-06
