See original data: 
Section   Material 
and Evaluation Summary 
Interpreted ENDF file 

U-238(FY_cum)U-239,RNP   MAT=9237 MF=8 MT=459   Library: ENDF/B-VIII.0   

(n,FY_cum) Cumulative Fission-Product Yields
Fission-product yields are given for 2 incident neutron energies

Neutron energy =  5.0000E+05

   PRODUCT      ZAFP     FPS           Y          DY
 ----------- ------- ------- ----------- -----------
 22-Ti- 66    22066.      0.  7.9870E-19  5.1117E-19
 23-V - 66    23066.      0.  1.4186E-14  9.0788E-15
 23-V - 67    23067.      0.  2.7535E-16  1.7622E-16
 23-V - 68    23068.      0.  1.6886E-17  1.0807E-17
 23-V - 69    23069.      0.  2.8156E-18  1.8020E-18
 24-Cr- 66    24066.      0.  1.7100E-11  1.0944E-11
 24-Cr- 67    24067.      0.  6.7400E-12  4.3136E-12
 24-Cr- 68    24068.      0.  4.4800E-13  2.8672E-13
 24-Cr- 69    24069.      0.  6.8921E-14  4.4110E-14
 24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
 24-Cr- 71    24071.      0.  1.1532E-17  7.3808E-18
 25-Mn- 66    25066.      0.  2.0400E-09  1.3056E-09
 25-Mn- 67    25067.      0.  2.6800E-09  1.7152E-09
 25-Mn- 68    25068.      0.  5.0400E-10  3.2256E-10
 25-Mn- 69    25069.      0.  6.0300E-11  3.8592E-11
 25-Mn- 70    25070.      0.  4.4500E-12  2.8480E-12
 25-Mn- 71    25071.      0.  2.2200E-13  1.4208E-13
 25-Mn- 72    25072.      0.  1.9449E-15  1.2447E-15
 25-Mn- 73    25073.      0.  3.9137E-16  2.5048E-16
 25-Mn- 74    25074.      0.  1.6697E-17  1.0686E-17
 26-Fe- 66    26066.      0.  2.3800E-08  1.5232E-08
 26-Fe- 67    26067.      0.  7.6701E-08  4.9088E-08
 26-Fe- 68    26068.      0.  4.3500E-08  2.7840E-08
 26-Fe- 69    26069.      0.  1.4500E-08  9.2801E-09
 26-Fe- 70    26070.      0.  3.5000E-09  2.2400E-09
 26-Fe- 71    26071.      0.  4.9800E-10  3.1872E-10
 26-Fe- 72    26072.      0.  5.1600E-11  3.3024E-11
 26-Fe- 73    26073.      0.  9.5801E-12  6.1312E-12
 26-Fe- 74    26074.      0.  4.4300E-13  2.8352E-13
 26-Fe- 75    26075.      0.  7.0649E-15  4.5216E-15
 26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
 26-Fe- 77    26077.      0.  3.1292E-16  2.0027E-16
 27-Co- 66    27066.      0.  3.6300E-08  1.6335E-08
 27-Co- 67    27067.      0.  1.9500E-07  1.2480E-07
 27-Co- 68    27068.      0.  2.0500E-07  1.3120E-07
 27-Co- 69    27069.      0.  1.7300E-07  1.1072E-07
 27-Co- 70    27070.      0.  1.0200E-07  6.5280E-08
 27-Co- 71    27071.      0.  4.4100E-08  2.8224E-08
 27-Co- 72    27072.      0.  1.2800E-08  8.1920E-09
 27-Co- 73    27073.      0.  7.8601E-09  5.0304E-09
 27-Co- 74    27074.      0.  1.0700E-09  6.8480E-10
 27-Co- 75    27075.      0.  1.3600E-10  8.7041E-11
 27-Co- 76    27076.      0.  1.0800E-11  6.9120E-12
 27-Co- 77    27077.      0.  6.0237E-12  3.8552E-12
 27-Co- 78    27078.      0.  5.9176E-14  3.7873E-14
 27-Co- 79    27079.      0.  1.3914E-14  8.9053E-15
 28-Ni- 66    28066.      0.  3.7100E-08  1.1872E-08
 28-Ni- 67    28067.      0.  2.1400E-07  9.6301E-08
 28-Ni- 68    28068.      0.  2.7900E-07  1.2555E-07
 28-Ni- 69    28069.      0.  3.4700E-07  2.2208E-07
 28-Ni- 70    28070.      0.  3.9300E-07  2.5152E-07
 28-Ni- 71    28071.      0.  3.5100E-07  2.2464E-07
 28-Ni- 72    28072.      0.  2.8200E-07  1.8048E-07
 28-Ni- 73    28073.      0.  4.3400E-07  2.7776E-07
 28-Ni- 74    28074.      0.  1.9100E-07  1.2224E-07
 28-Ni- 75    28075.      0.  6.6600E-08  4.2624E-08
 28-Ni- 76    28076.      0.  1.7700E-08  1.1328E-08
 28-Ni- 77    28077.      0.  6.7000E-09  4.2880E-09
 28-Ni- 78    28078.      0.  1.5700E-09  1.0048E-09
 28-Ni- 79    28079.      0.  3.4061E-10  2.1799E-10
 28-Ni- 80    28080.      0.  5.3600E-12  3.4304E-12
 28-Ni- 81    28081.      0.  1.6312E-13  1.0440E-13
 28-Ni- 82    28082.      0.  0.0000E+00  0.0000E+00
 29-Cu- 66    29066.      0.  3.7100E-08  1.1872E-08
 29-Cu- 67    29067.      0.  2.1500E-07  6.8800E-08
 29-Cu- 68    29068.      0.  2.8000E-07  1.2600E-07
 29-Cu- 68-M  29068.      1.  1.1700E-09  7.4881E-10
 29-Cu- 69    29069.      0.  3.5800E-07  1.6110E-07
 29-Cu- 70    29070.      0.  2.0700E-07  1.3248E-07
 29-Cu- 70-M  29070.      1.  2.3400E-07  1.4976E-07
 29-Cu- 71    29071.      0.  4.8900E-07  3.1296E-07
 29-Cu- 72    29072.      0.  5.6800E-07  2.5560E-07
 29-Cu- 73    29073.      0.  1.6800E-06  1.0752E-06
 29-Cu- 74    29074.      0.  1.5500E-06  9.9201E-07
 29-Cu- 75    29075.      0.  1.4800E-06  9.4721E-07
 29-Cu- 76    29076.      0.  9.9701E-07  6.3808E-07
 29-Cu- 77    29077.      0.  1.2300E-06  7.8721E-07
 29-Cu- 78    29078.      0.  8.0001E-07  5.1200E-07
 29-Cu- 79    29079.      0.  2.9800E-07  1.9072E-07
 29-Cu- 80    29080.      0.  2.8200E-08  1.8048E-08
 29-Cu- 81    29081.      0.  3.1400E-09  2.0096E-09
 29-Cu- 82    29082.      0.  2.4900E-10  1.5936E-10
 29-Cu- 83    29083.      0.  3.8197E-12  2.4446E-12
 29-Cu- 84    29084.      0.  2.4726E-13  1.5825E-13
 30-Zn- 66    30066.      0.  3.7100E-08  1.1872E-08
 30-Zn- 67    30067.      0.  2.1500E-07  6.8800E-08
 30-Zn- 68    30068.      0.  2.8000E-07  8.9601E-08
 30-Zn- 69    30069.      0.  3.5800E-07  1.6110E-07
 30-Zn- 69-M  30069.      1.  4.7500E-11  3.0400E-11
 30-Zn- 70    30070.      0.  4.4100E-07  1.0143E-07
 30-Zn- 71    30071.      0.  4.9000E-07  2.2050E-07
 30-Zn- 71-M  30071.      1.  4.7900E-09  3.0656E-09
 30-Zn- 72    30072.      0.  6.0500E-07  1.9360E-07
 30-Zn- 73    30073.      0.  2.0600E-06  6.5920E-07
 30-Zn- 74    30074.      0.  2.7200E-06  1.7408E-06
 30-Zn- 75    30075.      0.  4.2700E-06  2.7328E-06
 30-Zn- 76    30076.      0.  6.3400E-06  4.0576E-06
 30-Zn- 77    30077.      0.  1.7880E-05  1.1443E-05
 30-Zn- 78    30078.      0.  3.3350E-05  2.1344E-05
 30-Zn- 79    30079.      0.  3.3450E-05  2.1408E-05
 30-Zn- 80    30080.      0.  1.0450E-05  6.6880E-06
 30-Zn- 81    30081.      0.  3.3700E-06  2.1568E-06
 30-Zn- 82    30082.      0.  9.3101E-07  5.9584E-07
 30-Zn- 83    30083.      0.  9.3501E-08  5.9840E-08
 30-Zn- 84    30084.      0.  6.5600E-09  4.1984E-09
 30-Zn- 85    30085.      0.  5.0130E-11  3.2083E-11
 30-Zn- 86    30086.      0.  3.6700E-12  2.3488E-12
 30-Zn- 87    30087.      0.  1.7608E-13  1.1269E-13
 31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
 31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
 31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
 31-Ga- 69    31069.      0.  3.5800E-07  1.1456E-07
 31-Ga- 70    31070.      0.  4.0200E-13  2.5728E-13
 31-Ga- 71    31071.      0.  4.9500E-07  1.5840E-07
 31-Ga- 72-M  31072.      1.  9.3001E-11  5.9520E-11
 31-Ga- 72    31072.      0.  6.0500E-07  3.8720E-07
 31-Ga- 73    31073.      0.  2.0600E-06  4.7380E-07
 31-Ga- 74-M  31074.      1.  2.0653E-06  1.3218E-06
 31-Ga- 74    31074.      0.  2.2537E-06  1.4424E-06
 31-Ga- 75    31075.      0.  4.6200E-06  2.9568E-06
 31-Ga- 76    31076.      0.  7.9500E-06  3.5775E-06
 31-Ga- 77    31077.      0.  3.1850E-05  2.0384E-05
 31-Ga- 78    31078.      0.  9.6881E-05  6.2004E-05
 31-Ga- 79    31079.      0.  2.1680E-04  1.3875E-04
 31-Ga- 80    31080.      0.  1.5702E-04  1.0049E-04
 31-Ga- 81    31081.      0.  1.5131E-04  9.6839E-05
 31-Ga- 82    31082.      0.  1.1409E-04  7.3018E-05
 31-Ga- 83    31083.      0.  3.9470E-05  2.5261E-05
 31-Ga- 84    31084.      0.  8.6101E-06  5.5104E-06
 31-Ga- 85    31085.      0.  9.6501E-07  6.1760E-07
 31-Ga- 86    31086.      0.  5.7400E-08  3.6736E-08
 31-Ga- 87    31087.      0.  3.3895E-09  2.1693E-09
 31-Ga- 88    31088.      0.  1.5642E-11  1.0011E-11
 31-Ga- 89    31089.      0.  1.6184E-12  1.0358E-12
 32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
 32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
 32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
 32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
 32-Ge- 70    32070.      0.  4.0200E-13  2.5728E-13
 32-Ge- 71    32071.      0.  0.0000E+00  0.0000E+00
 32-Ge- 71-M  32071.      1.  0.0000E+00  0.0000E+00
 32-Ge- 72    32072.      0.  6.0500E-07  1.9360E-07
 32-Ge- 73    32073.      0.  2.0600E-06  4.7380E-07
 32-Ge- 73-M  32073.      1.  2.0600E-06  4.7380E-07
 32-Ge- 74    32074.      0.  2.7700E-06  8.8641E-07
 32-Ge- 75    32075.      0.  4.6200E-06  2.0790E-06
 32-Ge- 75-M  32075.      1.  1.8800E-07  8.4601E-08
 32-Ge- 76    32076.      0.  8.0001E-06  1.8400E-06
 32-Ge- 77    32077.      0.  1.0750E-05  3.4400E-06
 32-Ge- 77-M  32077.      1.  2.8170E-05  1.2677E-05
 32-Ge- 78    32078.      0.  1.1206E-04  5.0427E-05
 32-Ge- 79-M  32079.      1.  6.3959E-05  4.0934E-05
 32-Ge- 79    32079.      0.  2.6187E-04  1.6760E-04
 32-Ge- 80    32080.      0.  4.0743E-04  1.8334E-04
 32-Ge- 81    32081.      0.  7.2033E-04  4.6101E-04
 32-Ge- 82    32082.      0.  1.3532E-03  8.6603E-04
 32-Ge- 83    32083.      0.  1.1702E-03  7.4895E-04
 32-Ge- 84    32084.      0.  8.5617E-04  5.4795E-04
 32-Ge- 85    32085.      0.  2.8476E-04  1.8225E-04
 32-Ge- 86    32086.      0.  6.1020E-05  3.9053E-05
 32-Ge- 87    32087.      0.  3.7700E-06  2.4128E-06
 32-Ge- 88    32088.      0.  4.1500E-07  2.6560E-07
 32-Ge- 89    32089.      0.  3.9616E-08  2.5354E-08
 32-Ge- 90    32090.      0.  4.9692E-11  3.1803E-11
 32-Ge- 91    32091.      0.  8.7884E-12  5.6246E-12
 32-Ge- 92    32092.      0.  9.2481E-13  5.9188E-13
 33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
 33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
 33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
 33-As- 73    33073.      0.  0.0000E+00  0.0000E+00
 33-As- 74    33074.      0.  2.1000E-14  1.3440E-14
 33-As- 74-M  33074.      1.  1.5300E-14  9.7921E-15
 33-As- 75    33075.      0.  4.6200E-06  1.4784E-06
 33-As- 76    33076.      0.  5.6000E-11  3.5840E-11
 33-As- 77    33077.      0.  3.3010E-05  5.2816E-06
 33-As- 78    33078.      0.  1.1222E-04  3.5911E-05
 33-As- 79    33079.      0.  3.2673E-04  1.4703E-04
