#ZVView-data-copy:  31-Mar-2018 20:23:23
#=======================================
#
#name:   IRDFF-1.05: AL-27(N,A)NA-24
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  96
#data...
#            X            Y
#          eV        barns
       3.24926E+6            0
          4.25E+6  5.30733e-13
           4.5E+6       2.8e-8
        4.6389E+6   1.43925e-6
       4.64419E+6   1.52504e-6
          4.75E+6   3.73449e-6
       4.81644E+6   5.72072e-6
             5E+6   1.33886e-5
       5.16247E+6   5.23252e-5
       5.20328E+6   6.50914e-5
          5.25E+6   8.10813e-5
           5.5E+6  0.000225028
           5.6E+6  0.000373232
           5.7E+6  0.000565627
           5.8E+6  0.000811067
           5.9E+6   0.00112156
             6E+6   0.00151393
           6.1E+6   0.00201219
           6.2E+6    0.0026505
           6.3E+6   0.00347537
           6.4E+6    0.0045442
           6.5E+6     0.005914
           6.6E+6   0.00761568
           6.7E+6   0.00962163
           6.8E+6    0.0118353
             7E+6    0.0163981
           7.1E+6    0.0186093
           7.4E+6    0.0251383
       7.56001E+6    0.0288035
       7.72001E+6    0.0327014
           7.8E+6    0.0347409
           7.9E+6    0.0373707
           8.1E+6     0.042856
           8.7E+6    0.0600347
             9E+6    0.0682831
           9.2E+6    0.0734458
       9.40001E+6    0.0782826
       9.60001E+6    0.0827736
       9.90001E+6    0.0888658
          10.2E+6    0.0942387
          10.5E+6     0.098982
          10.8E+6     0.103192
          11.2E+6     0.108123
          11.7E+6     0.113408
          12.3E+6     0.118762
          12.9E+6     0.123256
          13.2E+6     0.124917
          13.4E+6     0.125458
          13.5E+6     0.125461
          13.7E+6     0.124803
          13.9E+6      0.12325
          14.1E+6     0.120996
          14.5E+6     0.115482
          15.4E+6      0.10202
          16.2E+6    0.0892543
          17.1E+6    0.0747171
          17.6E+6    0.0670383
            18E+6    0.0612535
          18.4E+6    0.0558448
          18.8E+6    0.0508391
          19.1E+6    0.0473542
          19.4E+6    0.0440976
          19.7E+6    0.0410631
            20E+6    0.0382422
          20.3E+6    0.0356243
          20.6E+6    0.0331982
          20.9E+6    0.0309518
          21.2E+6    0.0288732
       21.5001E+6    0.0269506
       21.8001E+6    0.0251723
       22.1001E+6    0.0235274
       22.4001E+6    0.0220056
       22.7001E+6    0.0205971
            23E+6     0.019293
            24E+6    0.0155952
            25E+6    0.0127061
            26E+6    0.0104298
            27E+6   0.00862155
            28E+6   0.00717529
            29E+6    0.0060132
       30.0001E+6   0.00507843
            32E+6    0.0039575
            34E+6   0.00310173
            36E+6   0.00242894
            38E+6   0.00208976
            40E+6   0.00155659
            42E+6   0.00119124
            44E+6  0.000951648
            46E+6  0.000784446
            48E+6   0.00063915
            50E+6  0.000547652
            52E+6  0.000441165
            54E+6   0.00038222
            56E+6  0.000337851
            58E+6  0.000253447
            60E+6  0.000221349
//
#-------------------------------------------------------------------------------
