#ZVView-data-copy:  31-Mar-2018 16:36:29
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,2N)AU-196
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  89
#data...
#            X            Y
#          eV        barns
       8.11229E+06            0
           8.2E+06    0.0174213
           8.3E+06     0.032186
           8.4E+06    0.0539487
           8.5E+06    0.0825136
           8.6E+06     0.117272
           8.7E+06     0.157107
           8.8E+06     0.200355
           8.9E+06     0.245606
             9E+06     0.307458
           9.1E+06     0.389479
           9.2E+06     0.483081
           9.3E+06     0.569014
           9.4E+06     0.649623
           9.5E+06     0.724235
           9.6E+06     0.793153
           9.7E+06     0.857041
           9.8E+06     0.916612
       9.90001E+06     0.972509
          10.1E+06      1.07673
          10.2E+06      1.12754
          10.3E+06      1.17585
          10.5E+06      1.26536
          10.7E+06      1.34624
          10.9E+06      1.41966
          11.2E+06      1.51839
          11.5E+06      1.60661
          11.9E+06      1.71277
          12.4E+06      1.83352
            13E+06      1.96701
          13.4E+06      2.04796
          13.7E+06      2.09798
          13.9E+06      2.12501
          14.2E+06       2.1481
          14.9E+06      2.16627
          15.3E+06      2.16902
          15.7E+06      2.16345
            16E+06      2.15013
          16.3E+06       2.1253
          16.6E+06      2.08596
          16.9E+06      2.03023
          17.2E+06      1.95777
          17.5E+06      1.86996
          17.8E+06      1.76972
          18.2E+06      1.62353
          18.9E+06      1.36056
          19.2E+06      1.25383
          19.5E+06      1.15386
          19.8E+06      1.06177
          20.1E+06     0.978016
          20.4E+06      0.90258
          20.7E+06     0.835113
            21E+06     0.775072
          21.3E+06     0.721815
       21.6001E+06     0.674669
       21.9001E+06     0.632972
          22.2E+06     0.596106
          22.4E+06     0.573918
          22.6E+06     0.553462
          22.8E+06     0.534593
            23E+06     0.517178
          23.2E+06     0.501093
          23.4E+06     0.486227
          23.6E+06     0.472475
          23.8E+06     0.459744
          24.2E+06      0.43701
          24.6E+06     0.417424
            25E+06     0.400491
          25.4E+06     0.385798
          25.8E+06     0.373003
          26.4E+06     0.356764
            27E+06     0.343399
          27.6E+06      0.33232
          28.2E+06     0.323074
            29E+06     0.312998
          29.8E+06     0.304926
          30.8E+06     0.296961
            32E+06     0.289691
          33.4E+06     0.283428
       35.2001E+06     0.277721
       37.4001E+06     0.273008
       40.0002E+06     0.269336
            42E+06     0.250383
            44E+06     0.238395
            48E+06     0.217005
            50E+06     0.210038
            54E+06     0.205478
            58E+06       0.1927
            60E+06     0.189513
//
#-------------------------------------------------------------------------------
