#ZVView-data-copy:  31-Mar-2018 16:38:45
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,G)AU-198
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  40692
#data...
#            X            Y
#          MeV        barns
         1e-11      4914.83
   1.09983e-11      4686.47
   1.20962e-11      4468.73
   1.33038e-11       4261.1
   1.46318e-11      4063.12
   1.60925e-11      3874.34
    1.7699e-11      3694.33
   1.94659e-11      3522.68
    2.1409e-11      3359.01
   2.35463e-11      3202.95
   2.58968e-11      3054.13
   2.84821e-11      2912.23
   3.13253e-11      2776.93
   3.44525e-11       2647.9
   3.78918e-11      2524.88
   4.16745e-11      2407.57
   4.58347e-11      2295.71
   5.04104e-11      2189.05
   5.54426e-11      2087.35
   6.09774e-11      1990.36
   6.70645e-11      1897.89
   7.37596e-11      1809.71
   8.11227e-11      1725.64
   8.92211e-11      1645.46
   9.81277e-11      1569.02
   1.07924e-10      1496.12
   1.18697e-10      1426.61
   1.30547e-10      1360.33
   1.43579e-10      1297.14
   1.57912e-10      1236.88
   1.73676e-10      1179.41
   1.91014e-10      1124.62
   2.10082e-10      1072.38
   2.31054e-10      1022.56
   2.54119e-10      975.058
   2.79488e-10      929.763
   3.07388e-10      886.573
   3.38075e-10       845.39
   3.71823e-10      806.122
   4.08942e-10      768.678
   4.49765e-10      732.975
   4.94665e-10       698.93
   5.44045e-10      666.469
   5.98357e-10      635.516
   6.58089e-10      606.003
   7.23786e-10       577.86
   7.96038e-10      551.027
   8.75506e-10       525.44
   9.62904e-10      501.044
    1.05903e-9      477.782
    1.16475e-9      455.602
    1.28103e-9      434.452
     1.4089e-9      414.287
    1.54956e-9      395.059
    1.70424e-9      376.727
    1.87438e-9      359.246
    2.06148e-9      342.579
    2.26728e-9      326.688
    2.49362e-9      311.537
    2.74255e-9      297.091
    3.01633e-9      283.319
    3.31745e-9      270.188
    3.64861e-9      257.671
    4.01286e-9      245.739
    4.41344e-9      234.365
    4.85403e-9      223.523
    5.33859e-9      213.186
    5.87154e-9      203.331
    6.45767e-9      193.936
    7.10234e-9      184.979
    7.81133e-9      176.441
    8.59114e-9      168.298
    9.44875e-9      160.532
     1.0392e-8      153.125
    1.14294e-8      146.063
    1.25704e-8      139.333
    1.38253e-8      132.924
    1.52054e-8      126.822
    1.67233e-8      121.008
    1.83928e-8      115.463
    2.02289e-8      110.172
    2.22483e-8      105.131
    2.44693e-8       100.33
    2.52522e-8      98.7928
       2.53e-8      98.7013
    2.78257e-8      94.2068
    3.06034e-8      89.9237
    3.36585e-8      85.8467
    3.70185e-8      81.9747
    4.07141e-8       78.289
    4.47784e-8      74.7678
    4.92486e-8      71.4118
    5.41649e-8      68.2191
    5.95721e-8      65.1825
     6.5519e-8      62.2956
    7.20597e-8      59.5578
     7.9589e-8      56.8523
    8.77194e-8       54.324
    9.64765e-8      51.9736
    1.06107e-7      49.7432
      1.167e-7      47.6277
     1.2835e-7      45.6223
    1.41163e-7      43.7225
    1.55254e-7      41.9311
    1.72204e-7      40.0946
    1.90197e-7      38.4234
    2.10071e-7      36.8514
    2.32512e-7      35.3455
     2.5735e-7      33.9362
     2.8424e-7      32.6481
    3.17949e-7      31.3175
    3.53406e-7      30.1421
    3.91986e-7      29.0839
     4.3386e-7      28.1372
    4.80208e-7      27.2812
    5.34891e-7       26.469
    5.88286e-7      25.8494
    6.47015e-7      25.2994
    7.22216e-7       24.778
    8.06158e-7      24.3857
    8.69921e-7      24.1922
    9.38728e-7       24.073
    1.00295e-6      24.0342
    1.07999e-6      24.0719
     1.1979e-6      24.2848
    1.31747e-6        24.68
    1.43376e-6      25.2253
    1.55372e-6      25.9523
    1.68016e-6      26.9064
    1.79398e-6      27.9398
    1.90744e-6      29.1463
     2.0195e-6      30.5317
    2.12463e-6      32.0264
    2.23052e-6      33.7476
    2.32195e-6      35.4319
    2.41714e-6      37.4092
    2.50561e-6      39.4779
    2.58636e-6      41.5898
     2.6697e-6      44.0261
    2.74412e-6      46.4526
    2.81464e-6      49.0019
    2.88697e-6       51.905
     2.9549e-6      54.9349
    3.01805e-6      58.0527
    3.07604e-6      61.2071
    3.13513e-6      64.7381
    3.19537e-6       68.705
    3.25676e-6      73.2261
    3.31232e-6      77.7808
    3.36883e-6      82.9252
     3.4263e-6      88.7717
    3.47005e-6      93.6988
    3.51435e-6      99.1682
    3.55922e-6      105.265
    3.60467e-6      112.091
    3.64684e-6      119.096
     3.6934e-6      127.693
    3.72871e-6      134.898
    3.76436e-6      142.851
    3.80036e-6      151.663
    3.83669e-6      161.486
    3.87336e-6      172.484
     3.9104e-6      184.856
    3.93944e-6      195.563
    3.97291e-6      209.147
    4.00665e-6      224.411
    4.03216e-6       237.15
    4.05781e-6      251.147
    4.08364e-6      266.595
    4.10962e-6       283.68
    4.13578e-6      302.674
    4.15989e-6      321.993
    4.18637e-6      345.501
    4.20634e-6      365.037
     4.2264e-6      386.441
    4.24655e-6      409.965
     4.2668e-6      435.902
    4.28714e-6        464.6
    4.30759e-6      496.486
    4.32814e-6      532.042
    4.34648e-6      567.202
     4.3649e-6      606.227
     4.3834e-6      649.711
    4.40198e-6      698.361
    4.41595e-6      738.726
    4.42999e-6      782.952
    4.44407e-6      831.487
    4.45818e-6      884.925
    4.47234e-6      943.959
    4.48655e-6      1009.51
    4.49843e-6      1069.74
    4.51271e-6      1149.72
    4.52347e-6      1216.07
    4.53424e-6      1288.54
    4.54504e-6      1367.94
    4.55586e-6      1455.24
    4.56671e-6      1551.39
    4.57759e-6      1657.88
    4.58849e-6      1775.89
    4.59942e-6      1907.55
    4.60793e-6      2020.45
    4.61769e-6      2162.74
    4.62746e-6       2320.7
    4.63481e-6      2451.27
    4.64217e-6      2593.12
    4.64953e-6       2747.9
    4.65692e-6      2917.19
     4.6643e-6      3102.41
    4.67171e-6      3306.29
    4.67912e-6      3530.68
    4.68654e-6      3778.28
    4.69337e-6      4029.03
    4.70082e-6      4330.99
    4.70827e-6      4667.15
    4.71388e-6      4944.87
    4.71949e-6      5246.45
     4.7251e-6      5574.33
    4.73073e-6      5932.69
    4.73636e-6      6323.11
    4.74199e-6      6748.65
    4.74764e-6      7213.48
    4.75329e-6      7721.46
    4.75895e-6      8274.99
    4.76461e-6      8877.47
    4.77028e-6      9534.64
    4.77596e-6      10247.5
    4.78164e-6      11017.9
    4.78733e-6      11848.5
    4.79303e-6      12740.9
    4.80064e-6      14020.6
    4.80826e-6      15396.8
    4.81717e-6      17105.2
    4.83758e-6      21180.7
    4.84653e-6      22882.7
    4.85291e-6      23999.5
     4.8593e-6      24999.4
    4.86529e-6      25804.7
    4.87051e-6        26382
    4.87573e-6      26830.3
    4.88104e-6      27143.1
