#ZVView-data-copy:  31-Mar-2018 15:28:39
#=======================================
#
#name:   IRDFF-1.05: IN-115(N,INL)IN-115-M1
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  102
#data...
#            X            Y
#          eV        barns
      0.339199E+6            0
           0.4E+6   0.00161785
          0.45E+6   0.00247756
           0.5E+6   0.00389992
          0.55E+6   0.00600978
           0.6E+6   0.00892895
          0.65E+6    0.0127643
           0.7E+6    0.0175941
          0.75E+6    0.0234555
           0.8E+6    0.0303358
          0.85E+6    0.0381696
           0.9E+6    0.0468445
          0.95E+6    0.0562134
             1E+6    0.0661119
           1.1E+6    0.0868583
           1.3E+6     0.129029
           1.6E+6     0.190886
           1.8E+6      0.23298
             2E+6     0.275446
           2.1E+6     0.295404
           2.2E+6     0.312797
           2.3E+6     0.325907
           2.4E+6      0.33498
           2.5E+6     0.340657
           2.6E+6     0.343704
           2.7E+6     0.344837
           2.8E+6     0.344657
           2.9E+6     0.343626
             3E+6     0.340775
           3.4E+6     0.333931
           3.8E+6     0.326501
           4.1E+6     0.322636
           4.3E+6     0.321588
           4.5E+6     0.322124
           4.7E+6     0.324361
             5E+6     0.330318
           5.3E+6     0.337089
           5.4E+6     0.338867
           5.7E+6      0.34093
           5.9E+6     0.341376
           6.2E+6     0.340611
           6.5E+6     0.338198
           6.9E+6      0.33274
           7.4E+6     0.323134
             8E+6     0.309017
             9E+6     0.282636
           9.7E+6     0.262489
          10.1E+6     0.249559
          10.4E+6     0.238637
          10.7E+6     0.226241
          10.9E+6     0.216979
          11.1E+6      0.20683
          11.3E+6     0.195778
          11.6E+6     0.177665
          12.3E+6     0.132353
          12.5E+6     0.120195
          12.6E+6     0.114471
          12.7E+6     0.109028
          12.8E+6     0.103891
          12.9E+6    0.0990785
            13E+6    0.0946024
          13.1E+6     0.090467
          13.2E+6    0.0866709
          13.3E+6    0.0832074
          13.4E+6    0.0800653
          13.5E+6      0.07723
          13.6E+6    0.0746845
          13.7E+6    0.0724097
          13.8E+6    0.0703858
          13.9E+6    0.0685924
            14E+6    0.0670092
          14.1E+6    0.0656166
          14.2E+6    0.0643955
          14.3E+6    0.0633283
          14.5E+6    0.0615895
          14.7E+6    0.0602815
          15.1E+6    0.0583835
          15.4E+6    0.0573311
          15.8E+6    0.0563623
          16.4E+6    0.0554259
          17.5E+6    0.0543275
       20.0001E+6    0.0523523
            21E+6    0.0504735
            22E+6    0.0477354
            23E+6    0.0454494
            24E+6    0.0433584
            25E+6    0.0414244
            26E+6    0.0396474
            27E+6    0.0381024
            32E+6    0.0313153
            34E+6    0.0286703
            36E+6    0.0262323
            38E+6    0.0240702
            40E+6    0.0224062
            42E+6    0.0204312
            44E+6    0.0186052
            46E+6    0.0176102
            50E+6    0.0167112
            52E+6    0.0159662
            54E+6    0.0149211
            58E+6    0.0132231
            60E+6    0.0124651
//
#-------------------------------------------------------------------------------
