#ZVView-data-copy:  31-Mar-2018 16:29:34
#=======================================
#
#name:   IRDFF-1.05: NI-58(N,2N)NI-57
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  73
#data...
#            X            Y
#          eV        barns
       12.4298E+6            0
          12.6E+6  0.000669797
         12.65E+6   0.00104351
          12.7E+6   0.00144181
          12.8E+6   0.00231554
          12.9E+6   0.00329739
            13E+6   0.00439283
          13.1E+6   0.00560601
          13.2E+6   0.00693943
          13.3E+6   0.00839355
          13.4E+6   0.00996639
          13.5E+6    0.0116534
          13.6E+6     0.013447
          13.7E+6     0.015337
          13.8E+6    0.0173102
          13.9E+6    0.0193511
          14.1E+6    0.0235644
          14.4E+6    0.0299231
          14.6E+6    0.0339734
          14.7E+6    0.0358966
          14.8E+6    0.0377373
          14.9E+6    0.0394882
            15E+6    0.0411445
          15.1E+6     0.042704
          15.2E+6    0.0441666
          15.3E+6    0.0455343
          15.5E+6    0.0479997
          15.7E+6    0.0501404
          15.9E+6    0.0520058
          16.2E+6    0.0544004
          16.6E+6    0.0570835
          17.3E+6    0.0611449
          18.4E+6     0.067476
          20.2E+6    0.0786587
          20.8E+6    0.0820651
          21.4E+6    0.0849351
          21.8E+6    0.0864412
          22.2E+6     0.087559
          22.6E+6    0.0882512
            23E+6    0.0884981
          23.4E+6    0.0882984
          23.8E+6    0.0876681
          24.2E+6    0.0866387
          24.8E+6    0.0844425
          25.4E+6    0.0816214
          26.2E+6    0.0772067
          28.4E+6    0.0639853
          29.4E+6     0.058391
          30.2E+6     0.054298
            31E+6    0.0505711
          31.8E+6    0.0472049
          32.6E+6    0.0441785
          33.4E+6    0.0414638
          34.2E+6      0.03903
            35E+6    0.0368469
          35.8E+6    0.0348859
          36.6E+6    0.0331211
          37.6E+6    0.0311556
          38.6E+6     0.029421
          39.6E+6    0.0278838
          40.6E+6    0.0265158
          41.8E+6    0.0250644
            43E+6    0.0237889
          44.4E+6    0.0224864
          45.8E+6    0.0213507
          47.4E+6    0.0202213
            49E+6    0.0192402
          50.8E+6    0.0182817
          52.8E+6     0.017364
            55E+6     0.016499
          57.2E+6    0.0157558
          59.8E+6    0.0150035
            60E+6    0.0149504
//
#-------------------------------------------------------------------------------
