#ZVView-data-copy:  31-Mar-2018 16:33:19
#=======================================
#
#name:   IRDFF-1.05: NI-58(N,P)CO-58
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  132
#data...
#            X            Y
#          eV        barns
           0.4E+6            0
           0.5E+6   7.83376e-7
          0.55E+6   1.23509e-6
           0.6E+6    8.4002e-6
           0.7E+6   4.40313e-5
           0.8E+6  0.000177164
           0.9E+6  0.000419252
             1E+6  0.000798652
           1.1E+6    0.0022979
           1.2E+6   0.00432253
           1.3E+6   0.00580889
           1.4E+6   0.00806344
           1.5E+6    0.0111401
           1.6E+6     0.015138
           1.7E+6    0.0201769
           1.8E+6    0.0263737
           1.9E+6    0.0338285
             2E+6    0.0426128
           2.1E+6    0.0527604
           2.2E+6    0.0642612
           2.3E+6    0.0770591
           2.4E+6    0.0910547
           2.5E+6     0.106112
           2.6E+6     0.122067
           2.7E+6     0.138742
           2.8E+6     0.155955
           3.4E+6     0.262063
           3.6E+6     0.296115
           3.8E+6     0.328868
             4E+6     0.360217
           4.3E+6     0.404538
           4.6E+6     0.445551
           4.9E+6     0.483106
           5.2E+6     0.516964
           5.5E+6     0.546855
           5.8E+6     0.572563
           6.1E+6     0.593986
           6.4E+6     0.611184
           6.7E+6     0.624381
             7E+6     0.633948
           7.4E+6      0.64189
           7.8E+6     0.645499
           8.1E+6     0.646123
           8.8E+6     0.643339
           9.8E+6     0.634242
          10.4E+6     0.625518
          10.8E+6      0.61671
          11.2E+6     0.603988
          11.5E+6     0.591029
          11.8E+6     0.574582
          12.1E+6     0.554351
          12.4E+6     0.530332
          12.7E+6     0.502857
            13E+6     0.472588
          14.1E+6     0.353139
          14.4E+6     0.322365
          14.7E+6     0.293623
            15E+6     0.267222
          15.2E+6     0.250991
          15.4E+6     0.235858
          15.6E+6     0.221804
          15.8E+6     0.208789
            16E+6     0.196765
          16.2E+6     0.185674
          16.4E+6     0.175456
          16.6E+6     0.166049
          16.8E+6     0.157391
            17E+6     0.149421
          17.2E+6     0.142083
          17.5E+6     0.132143
          17.8E+6     0.123337
          18.1E+6     0.115516
          18.4E+6     0.108551
          18.7E+6     0.102329
            19E+6    0.0967543
          19.3E+6    0.0917416
          19.6E+6    0.0872192
       20.0001E+6    0.0818466
            21E+6    0.0746173
            22E+6    0.0665903
            23E+6    0.0623912
       24.0161E+6    0.0590702
            25E+6    0.0561932
            26E+6    0.0547092
       27.0181E+6    0.0518552
       28.0376E+6    0.0491562
            29E+6    0.0467292
       30.0202E+6    0.0447522
            32E+6    0.0404792
       34.0228E+6    0.0368471
       36.0242E+6    0.0334451
            38E+6    0.0302261
            40E+6    0.0272311
            44E+6    0.0233301
            46E+6    0.0206371
            48E+6    0.0190221
            50E+6    0.0172781
            52E+6    0.0159601
            54E+6    0.0142961
            56E+6      0.01359
            58E+6    0.0117331
       59.9993E+6     0.010729
       59.9994E+6     0.010694
       59.9995E+6     0.010596
       59.9996E+6     0.010432
       59.9996E+6     0.010385
       59.9996E+6     0.010333
       59.9996E+6     0.010274
       59.9996E+6     0.010209
       59.9996E+6     0.010056
       59.9997E+6   0.00996844
       59.9997E+6   0.00987174
       59.9997E+6   0.00965134
       59.9997E+6   0.00956974
       59.9997E+6   0.00948394
       59.9998E+6   0.00939374
       59.9998E+6   0.00929904
       59.9998E+6   0.00919994
       59.9998E+6   0.00898813
       59.9998E+6   0.00887424
       59.9998E+6   0.00875703
       59.9998E+6   0.00863533
       59.9998E+6   0.00850913
       59.9998E+6   0.00837863
       59.9998E+6   0.00824383
       59.9999E+6   0.00781343
       59.9999E+6   0.00735063
       59.9999E+6   0.00718973
       59.9999E+6   0.00669013
            60E+6   0.00616872
            60E+6   0.00590472
            60E+6   0.00536962
//
#-------------------------------------------------------------------------------
