#ZVView-data-copy:  31-Mar-2018 16:01:00
#=======================================
#
#name:   IRDFF-1.05: U-238(N,2N)U-237
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  107
#data...
#            X            Y
#          eV        barns
       6.18032E+6            0
          6.25E+6   0.00349712
           6.4E+6    0.0139808
           6.5E+6    0.0547031
           6.6E+6     0.115167
           6.7E+6     0.189627
           6.8E+6        0.273
           6.9E+6     0.360997
             7E+6     0.450171
           7.1E+6     0.537885
           7.2E+6     0.622233
           7.3E+6     0.701936
           7.4E+6     0.776219
           7.5E+6       0.8447
           7.6E+6     0.907292
           7.7E+6     0.964116
           7.8E+6      1.01543
           7.9E+6       1.0616
             8E+6      1.10301
           8.1E+6      1.14008
           8.2E+6      1.17324
           8.3E+6      1.20289
           8.4E+6      1.22942
           8.6E+6      1.27455
           8.8E+6      1.31117
           9.1E+6      1.35459
           9.4E+6      1.38884
       9.90001E+6      1.43493
          10.6E+6      1.48891
          11.1E+6       1.5192
          11.4E+6      1.52993
          11.6E+6      1.53191
          11.8E+6      1.52833
            12E+6      1.51788
          12.2E+6      1.49933
          12.4E+6      1.47172
          12.6E+6       1.4345
          12.8E+6      1.38768
            13E+6      1.33195
          13.2E+6      1.26861
          13.5E+6      1.16344
          14.1E+6     0.943187
          14.3E+6      0.87379
          14.5E+6      0.80859
          14.7E+6     0.748271
          14.9E+6     0.693156
          15.1E+6     0.643283
          15.3E+6     0.598487
          15.5E+6     0.558466
          15.7E+6     0.522842
          15.9E+6     0.491202
          16.1E+6     0.463129
          16.3E+6     0.438223
          16.5E+6     0.416108
          16.7E+6     0.396446
          16.9E+6     0.378929
          17.1E+6     0.363286
          17.3E+6      0.34928
          17.6E+6     0.330889
          17.9E+6     0.315124
          18.2E+6     0.301507
          18.5E+6     0.289653
          18.8E+6     0.279251
          19.2E+6     0.267218
          19.6E+6     0.256867
            20E+6     0.247848
          20.5E+6     0.238046
            21E+6     0.229525
          21.5E+6     0.222005
            22E+6     0.215277
          22.5E+6     0.209189
            23E+6     0.203625
            24E+6     0.193731
            25E+6       0.1851
            26E+6      0.17742
          27.5E+6     0.167257
            29E+6      0.15835
       30.0001E+6     0.152969
            32E+6     0.161754
            34E+6     0.153132
            36E+6     0.142678
            38E+6     0.139616
            40E+6     0.133923
            42E+6      0.12183
            44E+6     0.118973
            46E+6     0.120079
            48E+6      0.11029
            50E+6     0.107648
            52E+6     0.100043
            54E+6    0.0965384
            56E+6    0.0959374
            58E+6    0.0885168
            60E+6    0.0832106
            65E+6    0.0752791
            70E+6    0.0710922
            75E+6    0.0768908
            80E+6    0.0709027
            90E+6    0.0514701
           100E+6     0.045993
           110E+6    0.0346158
           120E+6    0.0262726
           130E+6    0.0255313
           140E+6    0.0262091
           150E+6    0.0230441
           160E+6    0.0261375
           180E+6    0.0126264
           200E+6   0.00294152
//
#-------------------------------------------------------------------------------
