#ZVView-data-copy:  31-Mar-2018 16:12:47
#=======================================
#
#name:   IRDFF-1.05: ZR-90(N,2N)ZR-89
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  63
#data...
#            X            Y
#          eV        barns
        12.104E+6            0
          12.2E+6    0.0102949
         12.25E+6     0.015607
          12.3E+6    0.0225531
         12.35E+6    0.0310396
          12.4E+6    0.0409663
         12.45E+6    0.0522282
          12.5E+6    0.0647171
         12.55E+6    0.0783233
          12.6E+6    0.0929366
          12.7E+6     0.124754
          12.8E+6     0.159333
          12.9E+6     0.195905
            13E+6     0.233779
          13.3E+6     0.349715
          13.4E+6     0.387743
          13.5E+6     0.424968
          13.6E+6     0.461196
          13.7E+6     0.496287
          13.8E+6     0.530146
          13.9E+6     0.562715
            14E+6     0.593964
          14.1E+6     0.623888
          14.3E+6     0.679822
         14.51E+6     0.733174
          14.7E+6     0.777037
          14.9E+6     0.819073
          15.1E+6      0.85727
          15.4E+6     0.908212
          15.7E+6      0.95258
            16E+6     0.991391
          16.4E+6      1.03593
          16.8E+6      1.07365
          17.3E+6        1.113
          17.8E+6      1.14519
          18.4E+6      1.17589
            19E+6      1.19901
          19.7E+6      1.21713
       20.0001E+6      1.22203
            21      1.21543
            22      1.19705
            23      1.16953
            24      1.11825
            25       1.0298
            26     0.903038
            27     0.764678
            28     0.647938
            29     0.557368
            30     0.489432
            32     0.402659
            34     0.355297
            36     0.332784
            38     0.319328
            40     0.309996
            42     0.302136
            44     0.295414
            48     0.274556
            50     0.266168
            52     0.256521
            54     0.251667
            56     0.248072
            58     0.245168
            60     0.237592
//
#-------------------------------------------------------------------------------
