#ZVView-data-copy:   1-May-2018 21:57:00
#=======================================
#
#name:   MT18xMT18
#X.axis: Incident Energy
#Y.axis: Uncertainty
#wdata:  2
#ldata:  625
#data...
#            X            Y
#          MeV            %
4e-11      0.45904
7e-11     0.458121
1e-10     0.455791
2.33333e-10     0.451771
3.66667e-10     0.447786
5e-10     0.444802
5.83333e-10     0.442421
6.66667e-10     0.440026
7.5e-10     0.437861
8.33333e-10     0.435685
9.16667e-10      0.43352
1e-9     0.431627
1.06667e-9     0.429961
1.13333e-9     0.428318
1.2e-9     0.426158
1.3e-9     0.423759
1.4e-9     0.421407
1.5e-9     0.418471
1.66667e-9     0.414842
1.83333e-9     0.411387
2e-9     0.408089
2.16667e-9     0.404909
2.33333e-9      0.40187
2.5e-9     0.398892
2.66667e-9     0.396046
2.83333e-9     0.393445
3e-9     0.389844
3.33333e-9     0.385424
3.66667e-9     0.381261
4e-9     0.377935
4.33333e-9     0.374798
4.66667e-9     0.372044
5e-9     0.367913
5.83333e-9     0.363548
6.66667e-9     0.360436
7.5e-9     0.358131
8.33333e-9     0.356528
9.16667e-9      0.35528
1e-8     0.352358
1.51e-8     0.349996
2.02e-8     0.349333
2.53e-8      0.34959
2.68667e-8      0.34993
2.84333e-8     0.350308
3e-8     0.351142
3.33333e-8     0.352323
3.66667e-8      0.35364
4e-8     0.354927
4.33333e-8     0.355995
4.66667e-8     0.357089
5e-8     0.358199
5.33333e-8     0.359128
5.66667e-8     0.360209
6e-8     0.361329
6.33333e-8     0.362512
6.66667e-8     0.363751
7e-8     0.365126
7.33333e-8     0.366531
7.66667e-8     0.367863
8e-8     0.369454
8.33333e-8     0.370879
8.66667e-8     0.372576
9e-8     0.374292
9.33333e-8     0.375959
9.66667e-8     0.377726
1e-7     0.380504
1.08333e-7     0.384587
1.16667e-7     0.388434
1.25e-7     0.391925
1.33333e-7     0.394993
1.41667e-7     0.397614
1.5e-7     0.399808
1.58333e-7     0.401646
1.66667e-7     0.403315
1.75e-7     0.404836
1.83333e-7     0.406351
1.91667e-7     0.407941
2e-7      0.40939
2.08333e-7     0.411028
2.16667e-7     0.412348
2.25e-7     0.413107
2.33333e-7     0.413198
2.41667e-7     0.412777
2.5e-7     0.411976
2.58333e-7     0.410893
2.66667e-7     0.409209
2.75e-7     0.406102
2.83333e-7     0.400799
2.91667e-7     0.393378
3e-7     0.384898
3.08333e-7     0.377312
3.16667e-7     0.371892
3.25e-7     0.369729
3.33333e-7     0.370264
3.41667e-7     0.373368
3.5e-7     0.377942
3.58333e-7     0.383265
3.66667e-7     0.388833
3.75e-7     0.394372
3.83333e-7     0.399737
3.91667e-7     0.404853
4e-7     0.411849
4.16667e-7     0.420629
4.33333e-7     0.428416
4.5e-7     0.435447
4.66667e-7     0.441684
4.83333e-7     0.447164
5e-7     0.452007
5.16667e-7     0.456289
5.33333e-7     0.460072
5.5e-7     0.463459
5.66667e-7     0.466389
5.83333e-7     0.469161
6e-7     0.471069
6.08333e-7     0.472358
6.16667e-7     0.473399
6.25e-7     0.474626
6.33333e-7     0.475577
6.41667e-7     0.476639
6.5e-7     0.478012
6.66667e-7     0.479762
6.83333e-7     0.481304
7e-7     0.482625
7.16667e-7     0.483709
7.33333e-7     0.484536
7.5e-7     0.485105
7.66667e-7     0.485395
7.83333e-7     0.485422
8e-7      0.48496
8.16667e-7     0.484257
8.33333e-7     0.483197
8.5e-7     0.481826
8.66667e-7     0.480193
8.83333e-7     0.478198
9e-7      0.47662
9.08333e-7     0.475452
9.16667e-7     0.474286
9.25e-7     0.473257
9.33333e-7     0.472187
9.41667e-7      0.47118
9.5e-7     0.470269
9.58333e-7     0.469491
9.66667e-7      0.46889
9.75e-7      0.46854
9.83333e-7     0.468605
9.91667e-7     0.468928
1e-6     0.469431
1.00333e-6     0.469825
1.00667e-6     0.470274
1.01e-6     0.470823
1.01333e-6      0.47148
1.01667e-6     0.472207
1.02e-6     0.473051
1.02333e-6     0.474021
1.02667e-6     0.475073
1.03e-6     0.476258
1.03333e-6     0.477588
1.03667e-6     0.479017
1.04e-6     0.480596
1.04333e-6     0.482334
1.04667e-6     0.484185
1.05e-6     0.486204
1.05333e-6       0.4884
1.05667e-6     0.490728
1.06e-6     0.493238
1.06333e-6     0.495939
1.06667e-6     0.498797
1.07e-6     0.501855
1.07333e-6      0.50512
1.07667e-6     0.508573
1.08e-6      0.51225
1.08333e-6     0.516153
1.08667e-6     0.520291
1.09e-6     0.524755
1.09333e-6     0.529506
1.09667e-6     0.534342
1.1e-6     0.539623
1.10333e-6     0.545287
1.10667e-6     0.550915
1.11e-6     0.557283
1.11333e-6       0.5636
1.11667e-6     0.570463
1.12e-6     0.577762
1.12333e-6     0.585184
1.12667e-6     0.592987
1.13e-6     0.601131
1.13333e-6      0.60928
1.13667e-6     0.617699
1.14e-6     0.626511
1.14333e-6     0.634664
1.14667e-6     0.643023
1.15e-6     0.656858
1.15833e-6     0.676194
1.16667e-6     0.694307
1.175e-6       0.7121
1.18333e-6     0.731743
1.19167e-6     0.755728
1.2e-6      0.78773
1.20833e-6     0.830263
1.21667e-6      0.88647
1.225e-6     0.959033
1.23333e-6      1.05117
1.24167e-6      1.16697
1.25e-6      1.38458
1.26667e-6       1.8012
1.28333e-6      2.17652
1.3e-6      2.30502
1.31667e-6      1.81539
1.33333e-6      1.22853
1.35e-6      1.04786
1.36667e-6      1.00242
1.38333e-6     0.988179
1.4e-6     0.983612
1.41667e-6     0.982927
1.43333e-6     0.984559
1.45e-6     0.986899
1.46667e-6      0.98957
1.48333e-6     0.992163
1.5e-6     0.995544
1.53e-6     0.999684
1.56e-6       1.0032
1.59e-6      1.00626
1.62e-6      1.00899
1.65e-6      1.01152
1.68e-6      1.01394
1.71e-6      1.01628
1.74e-6      1.01858
1.77e-6      1.02085
1.8e-6      1.02298
1.83e-6      1.02489
1.86e-6      1.02651
1.88667e-6      1.02785
1.91333e-6      1.03018
1.94e-6      1.03785
1.96e-6      1.06211
1.98e-6      1.14945
2e-6       1.6193
2.04e-6      1.48268
2.08e-6      1.08332
2.12e-6      1.05854
2.15e-6      1.06551
2.18e-6      1.07543
2.21e-6      1.08561
2.24e-6      1.09591
2.27e-6      1.10659
2.3e-6      1.11737
2.32667e-6      1.12841
2.35333e-6      1.14076
2.38e-6      1.15553
2.41e-6      1.17404
2.44e-6       1.1967
2.47e-6      1.22704
2.50333e-6      1.26934
2.53667e-6      1.32866
2.57e-6      1.41465
2.60333e-6       1.5434
2.63667e-6      1.73369
2.67e-6      1.98454
2.70333e-6      2.19887
2.73667e-6      2.15064
2.77e-6      1.78574
2.80333e-6      1.33921
2.83667e-6       1.0041
2.87e-6     0.816077
2.90333e-6     0.727276
2.93667e-6     0.685982
2.97e-6     0.671305
2.98e-6     0.665802
2.99e-6     0.661185
3e-6     0.656255
3.01667e-6     0.653325
3.03333e-6     0.655043
3.05e-6     0.671889
3.08333e-6     0.743339
3.11667e-6     0.874723
3.15e-6     0.911872
3.26667e-6     0.766422
3.38333e-6     0.631078
3.5e-6     0.626765
3.57667e-6     0.964672
3.65333e-6      1.42342
3.73e-6      2.45204
3.82e-6      5.29329
3.91e-6      5.57544
4e-6      3.11599
4.25e-6       2.5041
4.5e-6       2.1295
4.75e-6      1.99721
4.83333e-6      2.48046
4.91667e-6      2.09636
5e-6        1.848
5.13333e-6      1.62764
5.26667e-6      1.45894
5.4e-6      1.18864
5.6e-6     0.866883
5.8e-6     0.838468
6e-6      1.06167
6.08333e-6      1.33003
6.16667e-6      1.31388
6.25e-6      1.48509
6.33333e-6      1.15792
6.41667e-6       1.9402
6.5e-6      2.91361
6.58333e-6      2.61272
6.66667e-6      2.23277
6.75e-6      2.15622
6.83333e-6      2.93874
6.91667e-6      3.84326
7e-6      2.96351
7.05e-6      1.51353
7.1e-6      1.57329
7.15e-6      1.71398
7.46667e-6      3.68795
7.78333e-6       2.3878
8.1e-6     0.985361
8.43333e-6     0.517576
8.76667e-6     0.486546
9.1e-6     0.825331
9.4e-6     0.682182
9.7e-6      1.19554
1e-5      1.11351
1.05e-5      1.50282
1.1e-5     0.816145
1.15e-5       1.1616
1.16333e-5      1.70959
1.17667e-5      1.72577
1.19e-5      1.51424
1.22333e-5     0.690991
1.25667e-5      1.35229
1.29e-5      1.15933
1.31833e-5      1.37386
1.34667e-5     0.831986
1.375e-5     0.662277
1.39667e-5     0.674275
1.41833e-5     0.669772
1.44e-5      1.37632
1.46333e-5       3.0579
1.48667e-5      1.83163
1.51e-5       1.2051
1.54e-5      1.33741
1.57e-5      1.59767
1.6e-5      1.12259
1.63333e-5     0.981084
1.66667e-5     0.660777
1.7e-5      1.12853
1.75e-5      1.32169
1.8e-5     0.831129
1.85e-5      1.40262
1.86667e-5     0.982516
1.88333e-5      2.55568
1.9e-5     0.620365
1.93333e-5     0.996992
1.96667e-5     0.826837
2e-5      1.76457
2.03333e-5      1.61543
2.06667e-5      2.68324
2.1e-5      1.01029
2.15e-5      2.29654
2.2e-5       1.8861
2.25e-5      1.04064
2.33333e-5     0.725192
2.41667e-5     0.657545
2.5e-5     0.461855
2.58333e-5     0.792944
2.66667e-5      0.99058
2.75e-5     0.821228
2.83333e-5      1.68289
2.91667e-5       2.3133
3e-5      2.22044
3.04167e-5      1.55721
3.08333e-5      1.89846
3.125e-5      6.67376
3.14167e-5      6.66137
3.15833e-5       2.8215
3.175e-5     0.767756
3.225e-5      2.04389
3.275e-5      4.74538
3.325e-5      3.94883
3.34167e-5      1.33742
3.35833e-5      4.74762
3.375e-5      2.42183
3.40333e-5      2.16494
3.43167e-5      1.01556
3.46e-5      1.36134
3.49e-5      1.00953
3.52e-5      0.96384
3.55e-5     0.804255
3.6e-5      1.29634
3.65e-5      1.04226
3.7e-5      2.13472
3.73333e-5      1.28552
3.76667e-5     0.893647
3.8e-5     0.963713
3.83667e-5      1.34501
3.87333e-5      3.29778
3.91e-5      4.04546
3.92667e-5     0.998595
3.94333e-5      1.30808
3.96e-5      1.32656
4.00667e-5      1.41725
4.05333e-5       0.7584
4.1e-5      1.29935
4.14667e-5      1.30219
4.19333e-5      1.47832
4.24e-5      1.96152
4.29333e-5      1.67217
4.34667e-5      1.36467
4.4e-5      1.27585
4.44e-5      1.08001
4.48e-5     0.950229
4.52e-5     0.948579
4.58e-5      1.87031
4.64e-5      1.09479
4.7e-5      1.76155
4.74333e-5      1.84318
4.78667e-5      1.01673
4.83e-5      2.08569
4.86e-5      1.68892
4.89e-5      1.17942
4.92e-5      1.56606
4.96667e-5      3.22015
5.01333e-5      1.32313
5.06e-5      1.13951
5.10667e-5     0.801091
5.15333e-5      1.30598
5.2e-5      0.81559
5.24667e-5      1.48414
5.29333e-5      1.57037
5.34e-5     0.740705
5.52667e-5     0.534237
5.71333e-5     0.652198
5.9e-5      1.25621
5.96667e-5     0.890997
6.03333e-5      1.68667
6.1e-5      1.43795
6.23333e-5      0.98562
6.36667e-5      1.18898
6.5e-5      3.49049
6.58333e-5      2.72291
6.66667e-5      4.28447
6.75e-5       2.9661
6.9e-5       1.0711
7.05e-5      1.18707
7.2e-5     0.890231
7.33333e-5      1.22327
7.46667e-5     0.992831
7.6e-5      2.48294
7.73333e-5      1.00088
7.86667e-5      1.43276
8e-5      1.68949
8.06667e-5      2.68693
8.13333e-5      1.52097
8.2e-5     0.748893
8.46667e-5      1.05793
8.73333e-5     0.754315
9e-5     0.749078
9.33333e-5      1.35302
9.66667e-5     0.921786
0.0001      1.27827
0.000102667      0.72117
0.000105333      1.05028
0.000108      1.22628
0.000110333      1.69914
0.000112667      1.32169
0.000115     0.992707
0.000116333      1.81964
0.000117667     0.848841
0.000119      1.78963
