#ZVView-data-copy:  25-Jul-2018 20:53:13
#=======================================
#
#name:   IRDFF-1.05: IN-115(N,2N)IN-114-M1
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  70
#data...
#            X            Y
#          MeV        barns
       9.30711            0
          9.35   0.00499181
           9.4    0.0072173
          9.45    0.0109495
           9.5    0.0161559
          9.55    0.0227981
           9.6     0.030832
          9.65    0.0402084
           9.7    0.0508734
          9.75    0.0627692
           9.8    0.0758346
          9.85    0.0900052
           9.9     0.105215
          9.95     0.121395
            10     0.138475
          10.1      0.17506
          10.2      0.21441
          10.3     0.255977
          10.4     0.299239
          10.5     0.343706
          10.9       0.5253
          11.1     0.613779
          11.3     0.698287
          11.5     0.777754
          11.7      0.85157
          11.9     0.919472
          12.1     0.981448
          12.3      1.03765
          12.5      1.08835
          12.7      1.13387
            13       1.1932
          13.3      1.24289
          13.6      1.28408
          13.9      1.31782
          14.3      1.35279
          14.7      1.37798
          15.1      1.39487
          15.6      1.40609
            16      1.40827
          16.6      1.40179
          17.2      1.38506
          17.8      1.35915
          18.4      1.32471
            19      1.28202
          19.6      1.23102
       20.0001      1.19227
            21      1.00289
            22     0.835852
            23     0.696134
            24     0.587875
            25     0.507165
            26     0.447766
            27     0.404086
            28     0.371367
            29     0.347317
            30     0.327567
            32     0.301527
            34     0.281627
            36     0.264818
            38     0.250048
            42     0.222238
            44     0.209458
            46     0.197188
            48     0.186858
            50     0.175278
            52     0.166909
            54     0.162788
            56     0.157979
            58     0.153639
            60     0.146079
//
#-------------------------------------------------------------------------------
