#ZVView-data-copy: 18-Nov-2018 22:46:06																																																			
																																																																																																					
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	12.104	12.4	12.6	12.8	13	13.2	13.4	13.6	13.8	14	14.2	14.4	14.6	14.8	15	15.2	15.4	15.6	15.8	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	38	40	42	50	60	j
12.104	100	38.82	-0.4779	-15.32	-18.68	-14.43	-5.546	3.519	8.493	10.1	8.998	5.376	0.9215	-3.898	-8.095	-10.7	-12.4	-12.81	-12.51	-10.32	-5.088	1.366	7.682	12.9	16.45	18.05	17.57	7.186	5.947	2.786	-2.337	-6.921	-8.55	-8.989	-6.381	-0.7535	3.508	6.963	8.884	8.829	6.863	3.549	-0.2108	-3.602	-7.069	-8.435	0	0	0	0	1
12.4	38.82	100	72.33	58.45	48.09	36.17	22.16	10.56	4.845	3.851	6.273	11.21	16.89	22.34	26.66	29.48	31.23	32.01	32.17	31.21	28.05	23.54	18.55	13.83	9.825	6.755	4.685	1.691	1.702	2.325	3.688	5.034	5.059	4.875	3.304	0.372	-1.733	-3.354	-4.147	-3.918	-2.728	-0.8958	1.099	2.864	4.624	5.244	0	0	0	0	2
12.6	-0.4779	72.33	100	91.59	84	67.78	43.6	20.84	8.417	4.895	8.163	16.83	27.22	37.63	46.15	51.57	54.98	56.22	56.12	53.14	44.85	33.7	21.85	11.03	2.312	-3.748	-6.922	-3.466	-2.857	-0.09258	5.206	10.36	11.96	12.37	8.846	1.311	-4.521	-9.147	-11.7	-11.56	-8.799	-4.194	1.019	5.735	10.59	12.59	0	0	0	0	3
12.8	-15.32	58.45	91.59	100	93.17	80.46	57.53	33.82	19.86	15.01	17.26	25.14	34.78	44.49	52.35	57.2	60.15	61	60.58	57.11	48.15	36.28	23.65	12.05	2.609	-4.09	-7.777	-4.039	-3.584	-0.9334	4.413	9.775	11.69	12.34	8.994	1.516	-4.452	-9.196	-11.89	-11.88	-9.197	-4.605	0.6546	5.449	10.44	12.6	0	0	0	0	4
13	-18.68	48.09	84	93.17	100	90.62	73.64	52.79	39.09	33.24	33.71	39.02	45.67	52.23	57.23	59.94	61.27	61.13	60.12	56.42	48.14	37.53	26.24	15.73	6.947	0.3896	-3.693	-2.516	-2.521	-0.8762	2.984	7.123	8.793	9.497	7.108	1.426	-3.315	-7.071	-9.275	-9.375	-7.371	-3.828	0.2888	4.077	8.077	9.901	0	0	0	0	5
13.2	-14.43	36.17	67.78	80.46	90.62	100	89.4	75.53	64.27	58.16	56.43	57.7	59.38	60.51	60.52	59.49	57.99	56.12	54.08	50.07	43.3	35.49	27.35	19.65	12.94	7.513	3.516	0.4722	-0.0824	0.06119	1.421	3.293	4.211	4.732	3.741	1.026	-1.476	-3.426	-4.636	-4.785	-3.838	-2.062	0.05673	2.043	4.196	5.277	0	0	0	0	6
13.4	-5.546	22.16	43.6	57.53	73.64	89.4	100	91.58	85.03	80.05	76.79	74.05	70.4	65.51	59.9	54.58	49.77	45.8	42.46	37.87	32.68	28.2	24.03	20.15	16.58	13.3	10.31	3.617	2.807	1.757	0.7606	0.2539	0.09498	0.1562	0.2909	0.379	0.2164	0.159	0.08169	0.02713	0.02559	0.08559	0.1914	0.321	0.5125	0.7022	0	0	0	0	7
13.6	3.519	10.56	20.84	33.82	52.79	75.53	91.58	100	94.7	91.77	88.22	83.09	75.86	66.74	57.06	48.57	41.27	35.67	31.28	26.1	21.93	19.91	18.86	18.09	17.22	15.97	14.18	5.612	4.791	3.109	0.6167	-1.532	-2.548	-2.915	-2.121	-0.1745	1.318	2.602	3.365	3.436	2.825	1.715	0.4182	-0.7665	-1.995	-2.506	0	0	0	0	8
13.8	8.493	4.845	8.417	19.86	39.09	64.27	85.03	94.7	100	95.97	93.37	88.08	79.88	69.21	57.76	47.7	39.01	32.33	27.09	20.96	16.34	14.69	14.53	14.93	15.28	15.17	14.36	6.034	5.477	3.986	1.414	-1.069	-2.504	-3.182	-2.533	-0.4567	1.365	2.927	3.938	4.154	3.542	2.294	0.7643	-0.6747	-2.229	-2.983	0	0	0	0	9
