#ZVView-data-copy: 18-Nov-2018 22:42:45																																																		
																																																																																																			
#																																																		
#MT16:LB5:Symmetric Matrix																																																		
Z(49x49): Zi,j = Cor(σXi,σYj)*100																																																		
	X (MeV)																																																	
Y(MeV)	12.4298	12.8	13	13.2	13.4	13.6	13.8	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	22	23	24	25	26	27	28	29	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	j
12.4298	100	23.45	26.02	26.49	23.62	18.4	13.95	11.71	11.56	12.89	14.77	16.19	16.38	14.04	11.69	10.2	9.589	9.573	9.705	9.607	9.181	8.486	7.58	6.514	4.747	2.526	0.7296	-0.5468	-1.288	-1.474	-1.153	-0.5142	0.2054	1.126	1.963	2.408	2.555	2.463	2.176	1.742	1.216	0.6487	0.08521	-0.4458	-0.929	-1.36	-1.739	-2.071	-2.071	1
12.8	23.45	100	71.5	64.53	47.04	26.08	11.49	5.833	7.806	15.31	25.23	33.74	38.97	32.98	23.59	15.97	11.3	9.77	10.87	13.28	15.58	16.96	17.12	16.12	12.87	7.304	1.891	-2.463	-5.341	-6.421	-5.665	-3.617	-1.107	2.296	5.577	7.48	8.293	8.22	7.417	6.05	4.311	2.39	0.4477	-1.406	-3.109	-4.641	-5.999	-7.197	-7.197	2
13	26.02	71.5	100	74.66	60.9	41.16	25.68	18.22	18.15	23.63	31.8	39.1	43.84	38.66	30.26	22.99	17.82	14.8	13.68	13.82	14.43	14.91	14.88	14.21	12.07	8.198	4.198	0.7311	-1.887	-3.391	-3.64	-2.868	-1.574	0.4545	2.63	4.046	4.795	4.972	4.661	3.959	2.981	1.851	0.6731	-0.4753	-1.549	-2.528	-3.407	-4.19	-4.19	3
13.2	26.49	64.53	74.66	100	75.24	61.62	48.04	39.58	36.62	37.93	41.34	44.39	45.36	40.38	34.29	29	24.61	20.82	17.46	14.72	12.81	11.62	10.85	10.22	9.201	7.543	5.722	3.904	2.176	0.6484	-0.5016	-1.159	-1.38	-1.218	-0.6986	-0.1444	0.3235	0.6711	0.8902	0.9852	0.9719	0.8747	0.7203	0.5328	0.3307	0.1267	-0.07151	-0.2598	-0.2598	4
13.4	23.62	47.04	60.9	75.24	100	79.94	71.75	64.25	58.9	55.12	51.75	48.03	41.7	35.19	31.77	29.61	27.48	24.42	20.12	15.32	11.17	8.193	6.326	5.308	4.826	4.932	5.201	5.232	4.824	3.873	2.481	0.9692	-0.3562	-1.74	-2.757	-3.132	-3.104	-2.795	-2.281	-1.633	-0.917	-0.195	0.4883	1.107	1.65	2.119	2.521	2.864	2.864	5
13.6	18.4	26.08	41.16	61.62	79.94	100	86.42	81.97	76.24	69.04	59.94	49.75	35.16	25.21	23.15	23.65	24.19	23.23	20.02	15.23	10.38	6.434	3.676	2.007	1.131	1.568	2.725	3.851	4.537	4.513	3.72	2.421	1.012	-0.766	-2.392	-3.286	-3.639	-3.571	-3.166	-2.508	-1.689	-0.7965	0.09689	0.9425	1.714	2.404	3.013	3.547	3.547	6
13.8	13.95	11.49	25.68	48.04	71.75	86.42	100	90.51	86.41	78.66	66.95	52.86	31.74	17.21	14.32	15.71	18.01	19.26	18.23	15.05	10.96	7.097	3.963	1.694	-0.1686	-0.708	-0.02198	1.1	2.194	2.925	3.082	2.698	2.007	0.8782	-0.3847	-1.254	-1.77	-1.982	-1.934	-1.675	-1.261	-0.7558	-0.2123	0.3291	0.8435	1.318	1.749	2.136	2.136	7
14	11.71	5.833	18.22	39.58	64.25	81.97	90.51	100	92.16	86.29	74.98	59.77	34.61	15.18	9.623	10.05	12.66	15.3	16.32	15.18	12.55	9.411	6.373	3.748	0.8522	-1.198	-1.743	-1.386	-0.531	0.5179	1.459	2.074	2.336	2.279	1.874	1.38	0.9135	0.5115	0.1877	-0.05256	-0.2115	-0.2981	-0.3262	-0.3107	-0.2654	-0.2011	-0.1258	-0.0452	-0.0452	8
14.2	11.56	7.806	18.15	36.62	58.9	76.24	86.41	92.16	100	92.44	84.17	70.48	44.2	20.46	11.09	8.992	10.36	12.99	15.08	15.52	14.35	12.2	9.648	7.04	3.517	0.1345	-1.779	-2.526	-2.375	-1.535	-0.3034	0.9411	1.937	2.844	3.345	3.362	3.107	2.678	2.135	1.529	0.9092	0.3176	-0.2183	-0.6852	-1.081	-1.412	-1.687	-1.913	-1.913	9
14.4	12.89	15.31	23.63	37.93	55.12	69.04	78.66	86.29	92.44	100	92.39	82.88	59.18	33.09	19.71	14.03	12.63	13.5	14.95	15.72	15.39	14.18	12.39	10.26	6.902	3.01	0.1788	-1.581	-2.37	-2.266	-1.451	-0.2861	0.8661	2.189	3.254	3.717	3.767	3.51	3.018	2.361	1.611	0.8344	0.08563	-0.6031	-1.217	-1.753	-2.218	-2.618	-2.618	10
14.6	14.77	25.23	31.8	41.34	51.75	59.94	66.95	74.98	84.17	92.39	100	92.96	75.89	50.85	34.63	25.22	20.04	17.43	16.2	15.51	14.89	14.16	13.2	11.98	9.756	6.638	3.851	1.614	-0.02749	-1.021	-1.342	-1.118	-0.5988	0.2814	1.256	1.901	2.25	2.343	2.219	1.92	1.498	1.008	0.4959	-0.004004	-0.4715	-0.8974	-1.28	-1.62	-1.62	11
14.8	16.19	33.74	39.1	44.39	48.03	49.75	52.86	59.77	70.48	82.88	92.96	100	89.31	69.04	52.24	40.13	31.19	24.23	18.79	14.99	12.8	11.8	11.44	11.28	10.9	9.758	8.117	6.202	4.133	2.04	0.1873	-1.157	-1.935	-2.309	-2.139	-1.678	-1.151	-0.64	-0.1815	0.2028	0.5024	0.7173	0.8566	0.934	0.9645	0.9613	0.935	0.8935	0.8935	12
15	16.38	38.97	43.84	45.36	41.7	35.16	31.74	34.61	44.2	59.18	75.89	89.31	100	90.95	78.36	65.64	52.84	39.4	26.1	15.19	8.234	5.002	4.425	5.422	8.183	11.47	13.32	13.49	12	8.95	4.864	0.7272	-2.684	-5.984	-8.125	-8.656	-8.251	-7.232	-5.796	-4.105	-2.318	-0.5701	1.045	2.476	3.71	4.757	5.639	6.378	6.378	13
15.5	14.04	32.98	38.66	40.38	35.19	25.21	17.21	15.18	20.46	33.09	50.85	69.04	90.95	100	95.36	86.75	74.25	57.43	37.75	19.5	6.362	-0.9919	-3.659	-3.098	1.198	8.144	13.8	17.05	17.53	15.09	10.24	4.415	-0.9785	-6.883	-11.47	-13.4	-13.6	-12.57	-10.63	-8.077	-5.183	-2.214	0.6311	3.233	5.54	7.548	9.278	10.76	10.76	14
16	11.69	23.59	30.26	34.29	31.77	23.15	14.32	9.623	11.09	19.71	34.63	52.24	78.36	95.36	100	96.51	87.76	72.27	51.1	29.2	11.7	0.3713	-5.407	-6.998	-4.262	2.699	9.658	14.72	17.11	16.37	12.73	7.474	2.119	-4.249	-9.704	-12.43	-13.28	-12.74	-11.14	-8.769	-5.94	-2.938	0.008011	2.754	5.227	7.409	9.313	10.97	10.97	15
16.5	10.2	15.97	22.99	29	29.61	23.65	15.71	10.05	8.992	14.03	25.22	40.13	65.64	86.75	96.51	100	96.21	85.09	66.08	43.68	23.75	9.127	-0.08024	-4.824	-5.86	-1.903	3.929	9.188	12.76	13.92	12.47	9.175	5.271	0.1003	-4.818	-7.668	-8.985	-9.118	-8.317	-6.813	-4.85	-2.662	-0.4444	1.673	3.617	5.361	6.904	8.261	8.261	16
17	9.589	11.3	17.82	24.61	27.48	24.19	18.01	12.66	10.36	12.63	20.04	31.19	52.84	74.25	87.76	96.21	100	95.23	81.7	61.98	41.9	25.17	12.78	4.427	-1.937	-3.519	-1.15	2.504	6.082	8.671	9.656	9.069	7.528	4.785	1.588	-0.6926	-2.152	-2.927	-3.127	-2.866	-2.262	-1.442	-0.5155	0.4344	1.354	2.213	3	3.713	3.713	17
17.5	9.573	9.77	14.8	20.82	24.42	23.23	19.26	15.3	12.99	13.5	17.43	24.23	39.4	57.43	72.27	85.09	95.23	100	94.55	80.99	63.74	47.01	32.64	21.09	8.91	0.108	-3.008	-2.865	-0.895	1.941	4.73	6.759	7.848	8.184	7.557	6.501	5.348	4.203	3.114	2.115	1.24	0.5048	-0.086	-0.5442	-0.8888	-1.141	-1.322	-1.447	-1.447	18
18	9.705	10.87	13.68	17.46	20.12	20.02	18.23	16.32	15.08	14.95	16.2	18.79	26.1	37.75	51.1	66.08	81.7	94.55	100	94.96	83.66	69.76	55.69	42.59	25.94	10.18	0.7917	-3.908	-5.182	-3.864	-0.8911	2.547	5.544	8.564	10.58	11.11	10.72	9.696	8.208	6.417	4.486	2.563	0.7581	-0.8655	-2.285	-3.504	-4.543	-5.424	-5.424	19
18.5	9.607	13.28	13.82	14.72	15.32	15.23	15.05	15.18	15.52	15.72	15.51	14.99	15.19	19.5	29.2	43.68	61.98	80.99	94.96	100	96.04	87.27	75.95	63.64	45.44	25.18	10.59	1.054	-4.336	-6.143	-5.017	-2.145	1.181	5.41	9.166	11.09	11.7	11.29	10.09	8.319	6.188	3.916	1.676	-0.4185	-2.31	-3.983	-5.445	-6.716	-6.716	20
19	9.181	15.58	14.43	12.81	11.17	10.38	10.96	12.55	14.35	15.39	14.89	12.8	8.234	6.362	11.7	23.75	41.9	63.74	83.66	96.04	100	96.98	89.94	80.3	63.51	42.01	24.4	11.16	1.792	-3.948	-6.213	-5.731	-3.741	-0.1113	3.983	6.714	8.228	8.725	8.376	7.361	5.881	4.14	2.313	0.527	-1.143	-2.662	-4.023	-5.231	-5.231	21
19.5	8.486	16.96	14.91	11.62	8.193	6.434	7.097	9.411	12.2	14.18	14.16	11.8	5.002	-0.9919	0.3713	9.127	25.17	47.01	69.76	87.27	96.98	100	97.57	91.61	78.29	58.28	39.84	24.37	11.78	2.072	-4.323	-7.381	-7.929	-6.359	-3.214	-0.363	1.791	3.225	3.996	4.187	3.914	3.309	2.501	1.596	0.6688	-0.2333	-1.085	-1.874	-1.874	22
20	7.58	17.12	14.88	10.85	6.326	3.676	3.963	6.373	9.648	12.39	13.2	11.44	4.425	-3.659	-5.407	-0.08024	12.78	32.64	55.69	75.95	89.94	97.57	100	97.94	89.24	72.59	55.08	38.79	23.95	10.76	0.1671	-6.903	-10.64	-12.06	-10.8	-8.435	-5.981	-3.746	-1.833	-0.2858	0.8872	1.709	2.23	2.512	2.617	2.597	2.492	2.334	2.334	23
20.5	6.514	16.12	14.21	10.22	5.308	2.007	1.694	3.748	7.04	10.26	11.98	11.28	5.422	-3.098	-6.998	-4.824	4.427	21.09	42.59	63.64	80.3	91.61	97.94	100	96.25	84.08	68.78	52.89	36.85	20.95	6.597	-4.417	-11.52	-16.36	-17.57	-16.15	-13.74	-10.94	-8.04	-5.214	-2.612	-0.3338	1.576	3.123	4.346	5.296	6.025	6.58	6.58	24
21	4.747	12.87	12.07	9.201	4.826	1.131	-0.1686	0.8522	3.517	6.902	9.756	10.9	8.183	1.198	-4.262	-5.86	-1.937	8.91	25.94	45.44	63.51	78.29	89.24	96.25	100	95.37	84.94	71.46	55.5	37.36	18.8	2.768	-8.997	-19.01	-24.41	-25	-23.25	-20.18	-16.32	-12.05	-7.719	-3.598	0.123	3.358	6.101	8.391	10.29	11.86	11.86	25
22	2.526	7.304	8.198	7.543	4.932	1.568	-0.708	-1.198	0.1345	3.01	6.638	9.758	11.47	8.144	2.699	-1.903	-3.519	0.108	10.18	25.18	42.01	58.28	72.59	84.08	95.37	100	96.65	88.08	74.79	56.78	35.87	15.88	-0.2033	-15.63	-26.04	-29.56	-29.35	-26.84	-22.79	-17.78	-12.33	-6.892	-1.787	2.799	6.801	10.23	13.15	15.62	15.62	26
23	0.7296	1.891	4.198	5.722	5.201	2.725	-0.02198	-1.743	-1.779	0.1788	3.851	8.117	13.32	13.8	9.658	3.929	-1.15	-3.008	0.7917	10.59	24.4	39.84	55.08	68.78	84.94	96.65	100	97.07	88.26	73.1	52.95	31.84	13.6	-5.323	-19.67	-26	-27.77	-26.61	-23.44	-18.92	-13.67	-8.199	-2.916	1.938	6.255	10.02	13.26	16.05	16.05	27
24	-0.5468	-2.463	0.7311	3.904	5.232	3.851	1.1	-1.386	-2.526	-1.581	1.614	6.202	13.49	17.05	14.72	9.188	2.504	-2.865	-3.908	1.054	11.16	24.37	38.79	52.89	71.46	88.08	97.07	100	96.78	86.47	69.6	49.81	31.38	10.81	-6.25	-15.07	-18.98	-19.73	-18.25	-15.24	-11.3	-6.945	-2.57	1.562	5.314	8.643	11.56	14.09	14.09	28
25	-1.288	-5.341	-1.887	2.176	4.824	4.537	2.194	-0.531	-2.375	-2.37	-0.02749	4.133	12	17.53	17.11	12.76	6.082	-0.895	-5.182	-4.336	1.792	11.78	23.95	36.85	55.5	74.79	88.26	96.78	100	96.18	84.83	68.67	51.96	31.72	13.35	2.617	-3.411	-6.378	-7.213	-6.541	-4.867	-2.616	-0.1235	2.378	4.751	6.926	8.883	10.62	10.62	29
26	-1.474	-6.421	-3.391	0.6484	3.873	4.513	2.925	0.5179	-1.535	-2.266	-1.021	2.04	8.95	15.09	16.37	13.92	8.671	1.941	-3.864	-6.143	-3.948	2.072	10.76	20.95	37.36	56.78	73.1	86.47	96.18	100	95.97	85.56	72.55	54.81	36.96	25.26	17.53	12.36	8.942	6.772	5.517	4.918	4.77	4.914	5.234	5.652	6.114	6.589	6.589	30
27	-1.153	-5.665	-3.64	-0.5016	2.481	3.72	3.082	1.459	-0.3034	-1.451	-1.342	0.1873	4.864	10.24	12.73	12.47	9.656	4.73	-0.8911	-5.017	-6.213	-4.323	0.1671	6.597	18.8	35.87	52.95	69.6	84.83	95.97	100	96.57	88.72	75.42	60.01	48.63	40.04	33.2	27.47	22.54	18.29	14.66	11.63	9.146	7.133	5.518	4.229	3.2	3.2	31
28	-0.5142	-3.617	-2.868	-1.159	0.9692	2.421	2.698	2.074	0.9411	-0.2861	-1.118	-1.157	0.7272	4.415	7.474	9.175	9.069	6.759	2.547	-2.145	-5.731	-7.381	-6.903	-4.417	2.768	15.88	31.84	49.81	68.67	85.56	96.57	100	97.57	89.61	77.93	67.98	59.5	51.83	44.56	37.56	30.89	24.74	19.22	14.41	10.3	6.837	3.931	1.499	1.499	32
29	0.2054	-1.107	-1.574	-1.38	-0.3562	1.012	2.007	2.336	1.937	0.8661	-0.5988	-1.935	-2.684	-0.9785	2.119	5.271	7.528	7.848	5.544	1.181	-3.741	-7.929	-10.64	-11.52	-8.997	-0.2033	13.6	31.38	51.96	72.55	88.72	97.57	100	97.04	89.36	81.4	73.72	66.01	58.05	49.84	41.63	33.75	26.47	19.98	14.31	9.44	5.291	1.766	1.766	33
30	1.126	2.296	0.4545	-1.218	-1.74	-0.766	0.8782	2.279	2.844	2.189	0.2814	-2.309	-5.984	-6.883	-4.249	0.1003	4.785	8.184	8.564	5.41	-0.1113	-6.359	-12.06	-16.36	-19.01	-15.63	-5.323	10.81	31.72	54.81	75.42	89.61	97.04	100	97.4	92.49	86.54	79.66	71.78	63.08	53.92	44.79	36.14	28.23	21.21	15.08	9.791	5.238	5.238	34
32	1.963	5.577	2.63	-0.6986	-2.757	-2.392	-0.3847	1.874	3.345	3.254	1.256	-2.139	-8.125	-11.47	-9.704	-4.818	1.588	7.557	10.58	9.166	3.983	-3.214	-10.8	-17.57	-24.41	-26.04	-19.67	-6.25	13.35	36.96	60.01	77.93	89.36	97.4	100	98.53	95.07	89.92	83.17	75.04	66	56.62	47.46	38.9	31.16	24.3	18.29	13.06	13.06	35
34	2.408	7.48	4.046	-0.1444	-3.132	-3.286	-1.254	1.38	3.362	3.717	1.901	-1.678	-8.656	-13.4	-12.43	-7.668	-0.6926	6.501	11.11	11.09	6.714	-0.363	-8.435	-16.15	-25	-29.56	-26	-15.07	2.617	25.26	48.63	67.98	81.4	92.49	98.53	100	98.82	95.67	90.57	83.74	75.64	66.88	58.05	49.61	41.84	34.84	28.64	23.19	23.19	36
36	2.555	8.293	4.795	0.3235	-3.104	-3.639	-1.77	0.9135	3.107	3.767	2.25	-1.151	-8.251	-13.6	-13.28	-8.985	-2.152	5.348	10.72	11.7	8.228	1.791	-5.981	-13.74	-23.25	-29.35	-27.77	-18.98	-3.411	17.53	40.04	59.5	73.72	86.54	95.07	98.82	100	98.86	95.68	90.55	83.87	76.22	68.21	60.34	52.94	46.18	40.1	34.7	34.7	37
38	2.463	8.22	4.972	0.6711	-2.795	-3.571	-1.982	0.5115	2.678	3.51	2.343	-0.64	-7.232	-12.57	-12.74	-9.118	-2.927	4.203	9.696	11.29	8.725	3.225	-3.746	-10.94	-20.18	-26.84	-26.61	-19.73	-6.378	12.36	33.2	51.83	66.01	79.66	89.92	95.67	98.86	100	98.83	95.66	90.71	84.51	77.67	70.69	63.96	57.69	51.96	46.81	46.81	38
40	2.176	7.417	4.661	0.8902	-2.281	-3.166	-1.934	0.1877	2.135	3.018	2.219	-0.1815	-5.796	-10.63	-11.14	-8.317	-3.127	3.114	8.208	10.09	8.376	3.996	-1.833	-8.04	-16.32	-22.79	-23.44	-18.25	-7.213	8.942	27.47	44.56	58.05	71.78	83.17	90.57	95.68	98.83	100	98.83	95.82	91.32	85.88	80.05	74.22	68.65	63.47	58.73	58.73	39
42	1.742	6.05	3.959	0.9852	-1.633	-2.508	-1.675	-0.05256	1.529	2.361	1.92	0.2028	-4.105	-8.077	-8.769	-6.813	-2.866	2.115	6.417	8.319	7.361	4.187	-0.2858	-5.214	-12.05	-17.78	-18.92	-15.24	-6.541	6.772	22.54	37.56	49.84	63.08	75.04	83.74	90.55	95.66	98.83	100	98.9	96.21	92.34	87.82	83.05	78.33	73.82	69.63	69.63	40
44	1.216	4.311	2.981	0.9719	-0.917	-1.689	-1.261	-0.2115	0.9092	1.611	1.498	0.5024	-2.318	-5.183	-5.94	-4.85	-2.262	1.24	4.486	6.188	5.881	3.914	0.8872	-2.612	-7.719	-12.33	-13.67	-11.3	-4.867	5.517	18.29	30.89	41.63	53.92	66	75.64	83.87	90.71	95.82	98.9	100	99.02	96.76	93.6	89.97	86.19	82.45	78.89	78.89	41
46	0.6487	2.39	1.851	0.8747	-0.195	-0.7965	-0.7558	-0.2981	0.3176	0.8344	1.008	0.7173	-0.5701	-2.214	-2.938	-2.662	-1.442	0.5048	2.563	3.916	4.14	3.309	1.709	-0.3338	-3.598	-6.892	-8.199	-6.945	-2.616	4.918	14.66	24.74	33.75	44.79	56.62	66.88	76.22	84.51	91.32	96.21	99.02	100	99.16	97.35	94.86	92.03	89.1	86.19	86.19	42
48	0.08521	0.4477	0.6731	0.7203	0.4883	0.09689	-0.2123	-0.3262	-0.2183	0.08563	0.4959	0.8566	1.045	0.6311	0.008011	-0.4444	-0.5155	-0.086	0.7581	1.676	2.313	2.501	2.23	1.576	0.123	-1.787	-2.916	-2.57	-0.1235	4.77	11.63	19.22	26.47	36.14	47.46	58.05	68.21	77.67	85.88	92.34	96.76	99.16	100	99.31	97.9	95.99	93.82	91.57	91.57	43
50	-0.4458	-1.406	-0.4753	0.5328	1.107	0.9425	0.3291	-0.3107	-0.6852	-0.6031	-0.004004	0.934	2.476	3.233	2.754	1.673	0.4344	-0.5442	-0.8655	-0.4185	0.527	1.596	2.512	3.123	3.358	2.799	1.938	1.562	2.378	4.914	9.146	14.41	19.98	28.23	38.9	49.61	60.34	70.69	80.05	87.82	93.6	97.35	99.31	100	99.44	98.37	96.92	95.27	95.27	44
52	-0.929	-3.109	-1.549	0.3307	1.65	1.714	0.8435	-0.2654	-1.081	-1.217	-0.4715	0.9645	3.71	5.54	5.227	3.617	1.354	-0.8888	-2.285	-2.31	-1.143	0.6688	2.617	4.346	6.101	6.801	6.255	5.314	4.751	5.234	7.133	10.3	14.31	21.21	31.16	41.84	52.94	63.96	74.22	83.05	89.97	94.86	97.9	99.44	100	99.55	98.74	97.64	97.64	45
54	-1.36	-4.641	-2.528	0.1267	2.119	2.404	1.318	-0.2011	-1.412	-1.753	-0.8974	0.9613	4.757	7.548	7.409	5.361	2.213	-1.141	-3.504	-3.983	-2.662	-0.2333	2.597	5.296	8.391	10.23	10.02	8.643	6.926	5.652	5.518	6.837	9.44	15.08	24.3	34.84	46.18	57.69	68.65	78.33	86.19	92.03	95.99	98.37	99.55	100	99.64	99.03	99.03	46
56	-1.739	-5.999	-3.407	-0.07151	2.521	3.013	1.749	-0.1258	-1.687	-2.218	-1.28	0.935	5.639	9.278	9.313	6.904	3	-1.322	-4.543	-5.445	-4.023	-1.085	2.492	6.025	10.29	13.15	13.26	11.56	8.883	6.114	4.229	3.931	5.291	9.791	18.29	28.64	40.1	51.96	63.47	73.82	82.45	89.1	93.82	96.92	98.74	99.64	100	99.7	99.7	47
58	-2.071	-7.197	-4.19	-0.2598	2.864	3.547	2.136	-0.0452	-1.913	-2.618	-1.62	0.8935	6.378	10.76	10.97	8.261	3.713	-1.447	-5.424	-6.716	-5.231	-1.874	2.334	6.58	11.86	15.62	16.05	14.09	10.62	6.589	3.2	1.499	1.766	5.238	13.06	23.19	34.7	46.81	58.73	69.63	78.89	86.19	91.57	95.27	97.64	99.03	99.7	100	99.7	48
60	-2.071	-7.197	-4.19	-0.2598	2.864	3.547	2.136	-0.0452	-1.913	-2.618	-1.62	0.8935	6.378	10.76	10.97	8.261	3.713	-1.447	-5.424	-6.716	-5.231	-1.874	2.334	6.58	11.86	15.62	16.05	14.09	10.62	6.589	3.2	1.499	1.766	5.238	13.06	23.19	34.7	46.81	58.73	69.63	78.89	86.19	91.57	95.27	97.64	99.03	99.7	99.7	100	49
