#ZVView-data-copy: 19-Nov-2018 01:32:48																																													
																																																																																									
#																																													
#MT103:LB5:Symmetric Matrix																																													
Z(44x44): Zi,j = Cor(σXi,σYj)*100																																													
	X (MeV)																																												
Y(MeV)	0.4	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	20	24	28	34	42	50	60	j
0.4	100	55.02	18.89	15.37	19.25	16.4	10.82	6.699	5.154	5.876	7.766	9.687	10.77	10.63	9.569	8.239	7.187	6.712	6.854	7.426	8.13	8.587	8.216	6.398	3.421	0.7388	-0.3913	0.3673	2.438	4.81	6.715	7.828	8.162	7.918	7.328	6.578	5.389	0	0	0	0	0	0	0	1
1.5	55.02	100	66.59	26.49	21.09	27.24	30.67	29.59	24.96	19.49	16.09	15.85	18.23	21.82	25.24	27.71	28.74	27.65	24.28	19.9	16.32	14.37	13.71	13.06	11	7.495	3.697	1.128	0.9438	3.197	7.037	11.4	15.46	18.79	21.33	23.19	25.05	0	0	0	0	0	0	0	2
2	18.89	66.59	100	76.68	49.85	33.68	27.85	28.52	31.79	35.09	37.74	39.69	40.5	39.92	38.62	37.71	37.72	38.22	38.21	37.35	36.13	34.55	31.35	24.67	15	6.145	1.585	2.56	8.003	15.41	22.49	27.94	31.34	32.95	33.28	32.84	31.5	0	0	0	0	0	0	0	3
2.5	15.37	26.49	76.68	100	86.46	59.66	39.04	29.29	27.79	31.06	36.04	40.54	42.82	42.17	39.56	36.77	35.01	34.47	34.59	34.87	35.17	34.91	32.41	25.52	14.94	5.232	0.518	2.136	8.605	16.85	24.26	29.49	32.28	33.06	32.51	31.2	28.7	0	0	0	0	0	0	0	4
3	19.25	21.09	49.85	86.46	100	89.33	70.36	53.01	38.99	29.75	25.98	26.52	29.23	31.99	33.71	34.33	33.98	32.4	29.5	26.22	23.82	22.61	21.62	19.01	13.82	7.665	2.992	1.532	3.661	8.288	13.8	18.88	22.81	25.46	27.02	27.8	28.09	0	0	0	0	0	0	0	5
3.5	16.4	27.24	33.68	59.66	89.33	100	93.49	78.68	58.96	39.49	25.5	18.48	17.32	19.85	23.77	27.42	29.64	29.33	26.04	21.12	16.72	14	12.87	12.27	10.76	7.882	4.39	1.631	0.8817	2.478	5.797	9.867	13.85	17.28	20	22.08	24.28	0	0	0	0	0	0	0	6
4	10.82	30.67	27.85	39.04	70.36	93.49	100	94.37	78.42	57.17	37.85	24.14	16.55	14.28	15.69	18.99	22.57	24.77	24.28	21.4	17.74	14.49	11.92	9.681	7.423	5.202	3.295	2.128	2.159	3.473	5.72	8.368	10.95	13.18	14.99	16.42	18.01	0	0	0	0	0	0	0	7
4.5	6.699	29.59	28.52	29.29	53.01	78.68	94.37	100	93.87	78	58.94	41.42	27.41	17.99	13.52	13.33	16.19	20.42	23.88	25.1	24.19	21.67	17.52	11.71	5.638	1.634	0.7456	2.551	5.766	9.04	11.59	13.19	13.91	14.01	13.74	13.31	12.62	0	0	0	0	0	0	0	8
5	5.154	24.96	31.79	27.79	38.99	58.96	78.42	93.87	100	94.35	80.84	63.87	46.09	30.22	18.91	13.35	13.34	17.68	23.88	28.99	31.43	30.65	25.91	16.86	6.303	-0.7679	-1.778	2.56	9.344	15.49	19.38	20.78	20.21	18.43	16.13	13.75	10.47	0	0	0	0	0	0	0	9
