#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																							
#																																															
#IRDFF-1.05: IN-115(N,INL)In-115M																																															
Z(46x46): Zi,j = Cor(σXi,σYj)*100																																															
	X (MeV)																																														
Y(MeV)	0.339199	0.6	0.8	1	1.2	1.4	1.6	1.8	2	2.2	2.4	2.6	2.8	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	13	14	15	16	17	18	19	20	24	28	34	42	50	60	j
0.339199	100	50.98	25	25.94	28.7	25.81	19.73	18.5	22.11	25.21	25.48	22.83	20.7	23.26	25	21.7	17.19	13.64	10.85	8.824	7.04	5.04	2.875	1.039	0.004114	0.01542	1.076	2.689	3.898	3.965	2.779	0.2609	-1.066	0.2509	-3.607	-4.192	-2.97	-0.2095	2.554	0	0	0	0	0	0	0	1
0.6	50.98	100	63.46	27.97	21.68	29.6	33.09	30.87	26.04	23.7	26.57	29.94	30.84	29.57	26.33	26.63	24.57	18.16	10.42	5.17	2.525	1.647	1.846	2.503	3.13	3.402	3.072	2.136	1.032	0.2916	0.1426	0.6427	0.8294	-0.03036	1.695	1.982	1.444	0.1842	-1.097	0	0	0	0	0	0	0	2
0.8	25	63.46	100	71.47	33.72	22.32	26.83	33.34	32.31	25.75	23.58	26.74	31.23	34	27.52	25.9	25.86	21.2	12.89	6	1.85	0.1472	0.3969	1.794	3.428	4.541	4.491	3.051	0.9292	-0.742	-1.247	-0.1815	1.156	-0.1977	3.196	4.192	3.381	0.7666	-2.177	0	0	0	0	0	0	0	3
1	25.94	27.97	71.47	100	81.72	48.43	21.4	15.88	25.55	34.03	33.61	26.82	22.29	28.03	33.32	26.62	18.39	14.22	12.73	11.84	10.34	7.691	4.222	0.9753	-1.056	-1.302	0.3869	3.276	5.689	6.204	4.497	0.3747	-1.912	0.4751	-6.248	-7.357	-5.289	-0.4855	4.371	0	0	0	0	0	0	0	4
1.2	28.7	21.68	33.72	81.72	100	82.77	46.06	21.37	17.77	27.13	34.79	33.14	27.29	26.03	30.69	28.19	19.78	12.31	8.443	7.305	6.922	6.072	4.409	2.365	0.6449	-0.1904	0.2117	1.699	3.377	4.198	3.635	1.283	-0.8989	0.3306	-3.748	-4.818	-3.776	-0.7025	2.671	0	0	0	0	0	0	0	5
1.4	25.81	29.6	22.32	48.43	82.77	100	84.34	54.49	26.81	17.34	25.76	36.77	40.31	34.41	26.64	29.27	27.98	18.87	7.911	1.101	-1.488	-1.106	0.9746	3.37	5.013	5.286	3.884	1.233	-1.28	-2.36	-1.653	0.9167	1.993	-0.2802	5	5.78	4.109	0.375	-3.342	0	0	0	0	0	0	0	6
1.6	19.73	33.09	26.83	21.4	46.06	84.34	100	86.8	51.8	21.87	17.47	29.83	41.62	42.19	27.41	27.74	30.68	24.43	12.17	2.456	-2.597	-3.478	-1.244	2.357	5.57	7.118	6.107	2.656	-1.412	-3.892	-3.713	-0.2962	2.508	-0.4627	7.183	8.954	6.879	1.213	-4.858	0	0	0	0	0	0	0	7
1.8	18.5	30.87	33.34	15.88	21.37	54.49	86.8	100	83.34	49.37	27.08	23.61	31.49	43.24	36.39	29.44	27.84	24.35	16.99	9.947	4.882	1.822	0.6705	1.062	2.337	3.797	4.692	4.378	2.93	1.114	-0.2669	-0.7073	0.3391	-0.04196	0.9768	1.806	1.846	0.8401	-0.6228	0	0	0	0	0	0	0	8
2	22.11	26.04	32.31	25.55	17.77	26.81	51.8	83.34	100	85.59	56.9	31.73	22.53	34.69	43.97	34.53	24.17	18.77	15.99	13.92	11.52	8.309	4.615	1.436	-0.3648	-0.3714	1.402	4.106	6.14	6.289	4.398	0.3814	-1.679	0.4429	-5.592	-6.468	-4.553	-0.3179	3.872	0	0	0	0	0	0	0	9
