#ZVView-data-copy: 18-Nov-2018 22:47:13																																																			
																																																																																																				
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	8.11229	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	40.0001	42	50	60	j
8.11229	100	14.72	-28.32	21.4	39.11	25.37	2.121	-12.3	-11.78	0.3366	13.38	14.36	1.308	-4.274	-4.628	1.071	10.39	17.89	10.15	-4.467	-13.85	-12.95	-4.046	7.433	2.747	-10.15	-17.49	-17.81	-12.01	-2.795	6.231	12.92	16.78	17.97	16.8	13.74	9.376	4.395	-0.6373	-5.347	-9.561	-13.24	-16.41	-19.13	-21.48	0	0	0	0	0	1
8.5	14.72	100	66.83	25.29	3.385	2.093	8.495	14.46	16.25	13.05	7.985	4.732	4.462	4.971	5.261	4.662	2.74	-0.5131	-0.8813	1.467	3.658	4.045	2.576	0.03395	0.4665	3.172	5.096	5.652	4.841	3.116	1.267	-0.148	-0.9504	-1.151	-0.8288	-0.09944	0.8873	1.979	3.057	4.048	4.923	5.68	6.33	6.887	7.366	0	0	0	0	0	2
9	-28.32	66.83	100	64.24	23.32	6.236	4.211	9.237	14.89	16.79	14.57	9.252	4.193	3.364	3.998	5.282	5.762	3.53	0.3199	-0.7591	0.0824	1.572	2.463	1.774	0.09825	0.06938	1.016	2.131	2.967	3.288	3.173	2.865	2.545	2.3	2.154	2.103	2.13	2.21	2.322	2.451	2.585	2.719	2.849	2.975	3.094	0	0	0	0	0	3
9.5	21.4	25.29	64.24	100	84.36	56.14	27.35	9.809	5.628	10.79	18.08	18.6	8.181	3.446	2.77	6.53	12.48	16.41	10.29	-0.09054	-7.056	-7.086	-1.466	6.66	4.696	-3.344	-8.187	-8.635	-5.203	0.4631	6.153	10.54	13.3	14.49	14.23	12.76	10.4	7.541	4.546	1.671	-0.951	-3.273	-5.299	-7.056	-8.58	0	0	0	0	0	4
10	39.11	3.385	23.32	84.36	100	88.1	60.47	33.51	15.18	7.485	8.783	13.65	11.56	8.782	7.223	7.57	9.229	11.17	9.688	4.756	-0.4189	-2.613	-0.9172	4.598	6.47	2.744	-0.7643	-2.276	-1.52	0.9565	4.044	6.876	9.084	10.54	11.2	11.07	10.28	9.004	7.478	5.881	4.331	2.891	1.585	0.4158	-0.6272	0	0	0	0	0	5
10.5	25.37	2.093	6.236	56.14	88.1	100	89.41	66.83	40.45	17.05	4.517	6.46	12.74	13.88	12.8	9.423	4.458	0.1322	2.808	7.348	8.642	6.384	2.748	0.8567	4.903	8.799	9.869	8.906	6.656	4.07	2.105	1.158	1.17	1.927	3.192	4.72	6.278	7.691	8.868	9.792	10.49	11.01	11.38	11.66	11.85	0	0	0	0	0	6
11	2.121	8.495	4.211	27.35	60.47	89.41	100	91.5	68.69	38.09	13.48	5.045	10.53	13.86	14.48	10.95	3.443	-5.886	-4.028	4.868	11.33	11.42	6.291	-0.7773	1.479	8.931	13.46	14.2	11.59	7.005	2.448	-0.8268	-2.517	-2.741	-1.748	0.1445	2.563	5.148	7.632	9.863	11.79	13.43	14.8	15.96	16.94	0	0	0	0	0	7
11.5	-12.3	14.46	9.237	9.809	33.51	66.83	91.5	100	90.6	65.14	36.29	13.87	7.059	8.728	11.23	11.9	8.449	-0.9404	-5.059	-0.7424	5.561	8.744	7.204	1.152	-0.9504	3.419	7.773	10.09	9.919	7.738	4.839	2.329	0.6711	-0.05606	0.06805	0.8817	2.162	3.674	5.224	6.69	8.013	9.179	10.19	11.08	11.85	0	0	0	0	0	8
12	-11.78	16.25	14.89	5.628	15.18	40.45	68.69	90.6	100	90.04	66.74	32.63	5.954	1.985	5.203	12.47	18.13	14.33	2.171	-5.225	-5.094	-0.3299	4.643	5.619	-0.2976	-3.723	-3.21	-0.6186	2.719	5.629	7.452	8.248	8.33	7.947	7.248	6.348	5.354	4.371	3.476	2.709	2.077	1.571	1.173	0.8617	0.621	0	0	0	0	0	9
