#ZVView-data-copy: 19-Nov-2018 04:18:18																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																																																												
#																																																																																																																																																																						
#MT102:LB5:Symmetric Matrix																																																																																																																																																																						
Z(165x165): Zi,j = Cor(σXi,σYj)*100																																																																																																																																																																						
	X (MeV)																																																																																																																																																																					
Y(MeV)	5.00E-11	1.00E-10	5.00E-10	1.00E-09	5.00E-09	1.00E-08	1.50E-08	2.00E-08	2.51E-08	2.55E-08	3.00E-08	4.00E-08	5.00E-08	6.00E-08	7.00E-08	8.00E-08	9.00E-08	1.00E-07	1.50E-07	2.00E-07	2.50E-07	3.00E-07	4.00E-07	5.00E-07	6.00E-07	7.00E-07	8.00E-07	9.00E-07	1.00E-06	1.50E-06	2.00E-06	2.50E-06	3.00E-06	3.50E-06	4.10E-06	4.70E-06	5.10E-06	6.00E-06	7.00E-06	8.00E-06	9.00E-06	1.00E-05	1.45E-05	2.10E-05	3.10E-05	4.50E-05	5.15E-05	5.85E-05	6.70E-05	7.65E-05	8.75E-05	0.0001	0.0001275	0.00016	0.00018	0.0002	0.000235	0.000265	0.000315	0.0004	0.000525	0.00072	0.001	0.0012	0.0014	0.002	0.0029	0.003	0.0036	0.004	0.0048	0.006	0.007	0.008	0.009	0.01225	0.0175	0.022	0.027	0.0375	0.05	0.06	0.07	0.08	0.09	0.0975	0.11	0.135	0.16	0.175	0.185	0.195	0.205	0.215	0.225	0.2325	0.2375	0.2425	0.2475	0.255	0.265	0.275	0.29	0.3125	0.3375	0.3625	0.3875	0.4125	0.4375	0.4625	0.4875	0.51	0.53	0.555	0.585	0.625	0.675	0.725	0.775	0.825	0.875	0.92	0.95	0.97	0.99	1.05	1.175	1.325	1.5	1.7	1.9	2.1	2.3	2.5	2.7	2.9	3.3	3.8	4.4	5	5.8	6.7	7.6	8.7	10	11	12	13	14	15	16	17	18	19	20	22	24	26	28	30	34	40	42	50	60	j
5.00E-11	100	49.28	30.36	30.1	18.99	6.22	0.528	2.738	12.8	16.52	16.71	18.67	20.95	23.16	25.21	27.09	28.76	32.43	35.08	35.32	34.97	34.6	34.55	34.83	35.09	35.17	35.02	34.71	33.83	33.66	35.78	38.98	42.11	44.57	43.42	32.95	44.34	45.93	45.18	44.1	42.45	36.04	19.39	12.32	20.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1.00E-10	49.28	100	74.01	17.63	-1.595	-2.379	-0.9313	4.458	12.51	12.44	9.274	9.422	10.7	12.34	14.13	15.96	17.77	22.49	27.77	30.35	31.64	32.7	33.51	33.91	33.89	33.48	32.76	31.86	29.48	27.75	29.08	31.96	35.18	38.16	38.37	29.5	39.4	41.82	41.56	40.66	39	32.37	16.48	11.09	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5.00E-10	30.36	74.01	100	72.32	32.3	4.695	-6.736	-4.74	14.19	26.25	30.51	33.67	36.52	38.96	41.03	42.75	44.13	46.33	45.72	43.2	40.92	38.96	38.04	38.3	38.99	39.71	40.28	40.67	41.53	43.19	46.4	50.19	53.43	55.45	52.63	39.54	53.48	54.21	52.84	51.48	49.72	43.1	24.3	14.7	24.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1.00E-09	30.1	17.63	72.32	100	75.56	38.05	18.32	11.66	13.47	13.83	16.16	21.21	25.56	29.16	32.17	34.7	36.8	40.73	42.4	41.28	39.8	38.36	37.58	37.64	37.97	38.25	38.39	38.37	38.29	39.04	41.77	45.33	48.58	50.85	48.79	36.71	49.67	50.83	49.72	48.46	46.71	40.08	22.13	13.69	22.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
5.00E-09	18.99	-1.595	32.3	75.56	100	88.54	75.88	60.85	14.18	-29.25	-45.23	-42.26	-37.72	-33.13	-28.56	-24.01	-19.49	-7.012	10.22	21.19	27.78	32.95	35.82	36.01	34.59	32.17	29.22	26.11	18.37	11.31	10.22	12.42	16.29	21.24	25.78	20.87	27.27	32.56	33.79	33.31	31.41	23.38	8.488	8.101	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
1.00E-08	6.22	-2.379	4.695	38.05	88.54	100	97.08	82.66	16.34	-48.08	-75.33	-75.45	-72.31	-68.39	-64.02	-59.27	-54.24	-38.95	-15.04	1.839	12.61	21.36	26.34	26.83	24.76	21.24	17.01	12.64	1.669	-8.939	-12.31	-11.51	-8.112	-2.521	5.303	6.22	6.872	13.7	16.19	16.34	14.78	7.633	-2.078	2.763	3.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
1.50E-08	0.528	-0.9313	-6.736	18.32	75.88	97.08	100	90.77	25.34	-45.18	-79.11	-81.8	-80.01	-77.01	-73.29	-69.04	-64.36	-49.46	-25.02	-7.156	4.474	14.07	19.68	20.43	18.46	14.95	10.72	6.325	-4.766	-15.72	-19.69	-19.56	-16.72	-11.47	-3.174	-0.02348	-1.722	5.001	7.754	8.153	6.899	0.8408	-5.883	0.4508	-0.5284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2.00E-08	2.738	4.458	-4.74	11.66	60.85	82.66	90.77	100	61.6	-7.336	-52.91	-60.22	-60.53	-58.96	-56.46	-53.33	-49.75	-37.97	-18.33	-3.845	5.66	13.62	18.45	19.35	18.02	15.39	12.13	8.681	-0.1353	-8.9	-11.98	-11.71	-9.304	-5.054	1.282	2.832	2.492	7.876	9.973	10.21	9.103	3.852	-2.802	1.506	1.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
2.51E-08	12.8	12.51	14.19	13.47	14.18	16.34	25.34	61.6	100	72.43	31.51	20.93	18.03	17	16.68	16.66	16.77	17.25	17.32	16.93	16.55	16.32	16.39	16.7	17.01	17.23	17.32	17.3	17.09	17.05	17.89	19.13	20.28	21.04	20	14.83	20.31	20.72	20.22	19.7	18.99	16.36	9.216	5.752	9.059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
