#ZVView-data-copy: 18-Nov-2018 22:54:07																																																							
																																																																																																														
#																																																							
#MT107:LB5:Symmetric Matrix																																																							
Z(54x54): Zi,j = Cor(σXi,σYj)*100																																																							
	X (MeV)																																																						
Y(MeV)	3.24926	6	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.5	13	13.5	13.75	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	22.5	25	30	34	35	40	42	50	60	j
3.24926	100	-26.5	15.3	8.075	-19.24	-10.31	12.17	18.97	9.8	-5.416	-17.31	-21.98	-19.67	-12.13	-1.906	8.283	16.37	21.33	22.91	21.22	16.62	9.743	1.652	-6.135	-12.84	-7.187	7.9	4.541	-6.44	-5.779	1.199	7.146	6.405	0.5498	-9.474	-14.96	-11.78	-3.138	6.923	14.96	19.45	20.35	18.27	14.09	-1.794	-16.83	-4.258	5.463	5.369	-3.277	0	0	0	0	1
6	-26.5	100	41.64	17.82	25.82	35.73	33.38	27.67	25.45	26.1	27.65	28.89	29.17	28.16	25.87	22.79	19.62	16.93	15.01	13.97	13.79	14.33	15.33	16.43	17.17	14.09	7.667	4.289	5.098	5.344	4.329	2.727	1.755	1.923	3.481	5.211	5.564	4.526	2.662	0.7339	-0.7518	-1.615	-1.873	-1.636	0.4974	3.125	1.155	-0.7153	-0.7029	0.5872	0	0	0	0	2
6.5	15.3	41.64	100	61.09	26.65	24	33.69	38.64	37.07	31.12	24.36	19.43	16.96	16.54	17.39	18.79	20.17	21.25	21.86	21.9	21.29	19.97	17.99	15.5	11.67	8.082	7.805	6.311	2.95	2.097	3.127	4.432	4.571	3.536	1.462	0.003801	0.1919	1.473	3.14	4.568	5.444	5.709	5.428	4.726	1.706	-1.809	-0.665	0.746	0.7331	-0.3465	0	0	0	0	3
6.75	8.075	17.82	61.09	100	74.22	44.56	29.3	28.6	33.49	37.04	37.13	34.84	31.45	27.65	23.93	20.74	18.45	17.17	16.81	17.19	18.03	19.04	19.84	20.06	18.58	13.01	7.221	5.837	5.675	4.763	3.728	3.08	3.163	3.681	4.564	4.934	4.437	3.375	2.196	1.291	0.8135	0.7311	0.9373	1.311	2.447	2.706	0.3736	-0.424	-0.4167	0.482	0	0	0	0	4
7	-19.24	25.82	26.65	74.22	100	81.41	51.45	33.52	30.31	34.14	38.77	41.56	41.85	39.62	35.34	30.04	24.86	20.62	17.72	16.25	16.13	17.12	18.85	20.76	22.34	18.63	9.905	5.318	6.739	7.263	5.884	3.591	2.145	2.319	4.464	6.905	7.468	6.116	3.611	0.9828	-1.074	-2.306	-2.727	-2.479	0.2881	3.983	1.858	-0.9531	-0.9366	0.7745	0	0	0	0	5
7.25	-10.31	35.73	24	44.56	81.41	100	84.3	63.74	49.1	40.56	36.57	35.53	35.86	36.23	35.8	34.39	32.34	30.1	28	26.19	24.72	23.54	22.6	21.77	20.49	17.2	12.43	7.5	5.797	6.161	6.533	5.936	4.473	3.172	2.574	3.305	4.44	5.156	5.178	4.635	3.801	2.894	2.045	1.324	0.2446	0.173	0.7685	0.114	0.112	0.06603	0	0	0	0	6
7.5	12.17	33.38	33.69	29.3	51.45	84.3	100	90.3	75.2	58.02	43.52	34.13	29.5	28.2	28.76	30.04	31.32	32.27	32.73	32.61	31.78	30.16	27.74	24.65	19.6	13.86	11.84	9.479	5.61	4.58	5.562	6.702	6.498	5.116	2.782	1.325	1.656	3.044	4.721	6.074	6.828	6.952	6.524	5.678	2.303	-1.637	-0.7438	0.7832	0.7697	-0.3176	0	0	0	0	7
7.75	18.97	27.67	38.64	28.6	33.52	63.74	90.3	100	92.33	77.62	60.47	46.12	36.11	30.01	26.97	26.09	26.58	27.81	29.3	30.67	31.55	31.61	30.59	28.37	23.13	14.89	10.64	9.774	6.961	5.143	5.052	5.85	6.383	6.1	4.895	3.486	2.873	2.997	3.622	4.417	5.118	5.571	5.708	5.527	3.748	0.3729	-0.7363	0.354	0.3479	0.02632	0	0	0	0	8
8	9.8	25.45	37.07	33.49	30.31	49.1	75.2	92.33	100	93.13	80.54	66.44	53.68	43.03	34.7	28.85	25.4	24.04	24.29	25.66	27.63	29.66	31.16	31.56	29.1	20.22	11.33	9.223	8.776	7.348	5.898	5.058	5.193	5.844	6.894	7.221	6.464	5.027	3.494	2.348	1.761	1.67	1.923	2.358	3.558	3.469	0.4423	-0.4818	-0.4734	0.6096	0	0	0	0	9
