#ZVView-data-copy: 18-Nov-2018 22:52:37																																																																																											
																																														
#																																														
#MT102:LB5:Symmetric Matrix																																														
Z(45x45): Zi,j = Cor(σXi,σYj)*100																																														
	X (MeV)																																													
Y(MeV)	5.50E-07	1.40E-05	2.50E-05	0.00016	0.00021	0.00024	0.00028	0.001	0.002	0.0032	0.0051453	0.0085	0.012339	0.018111	0.039019	0.057273	0.084065	0.11295	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	60	j
5.50E-07	100	86.33	88.29	5.207	10.3	-15.18	16.59	15.76	18.2	10	14.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1.40E-05	86.33	100	57.21	3.749	12.17	-31.16	14.15	12.47	14.07	7.858	10.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2.50E-05	88.29	57.21	100	6.612	10.51	8.19	16.45	16.18	18.85	10.35	14.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.00016	5.207	3.749	6.612	100	4.575	6.646	8.925	8.644	9.869	5.319	7.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
0.00021	10.3	12.17	10.51	4.575	100	77.15	16.01	15.54	17.41	9.835	13.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
0.00024	-15.18	-31.16	8.19	6.646	77.15	100	18.73	15.4	17.64	9.85	13.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
0.00028	16.59	14.15	16.45	8.925	16.01	18.73	100	31.11	35.81	20.15	28.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0.001	15.76	12.47	16.18	8.644	15.54	15.4	31.11	100	34.08	19.48	27.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
0.002	18.2	14.07	18.85	9.869	17.41	17.64	35.81	34.08	100	22.06	31.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
