#ZVView-data-copy: 18-Nov-2018 22:48:53																																																						
																																																																																																				
#																																																						
#MT102:LB5:Symmetric Matrix																																																						
Z(53x53): Zi,j = Cor(σXi,σYj)*100																																																						
	X (MeV)																																																					
Y(MeV)	2.00E-08	1.00E-07	5.50E-07	4.39E-06	1.39E-05	4.39E-05	7.81E-05	0.0001389	0.000247	0.0004393	0.0007812	0.001234	0.001811	0.002658	0.003902	0.0045	0.00572726	0.00840646	0.012339	0.0181112	0.0265836	0.0390194	0.0572726	0.0840646	0.125	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	56.607	60	j
2.00E-08	100	62.48	74.2	71.65	69.99	65.71	61.95	63.1	64.69	64.27	69.15	61.95	65.08	70.47	61.94	70.54	75.66	71.2	65.36	71.36	75.2	71.99	76.01	75.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1.00E-07	62.48	100	66.32	57.67	56.36	52.93	49.91	50.85	52.24	51.78	55.72	49.91	52.48	56.79	49.91	56.84	60.96	57.37	52.66	57.5	60.59	58	61.23	61.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5.50E-07	74.2	66.32	100	83.56	67.2	63.12	59.53	60.65	62.41	61.77	66.45	59.53	62.64	67.75	59.53	67.79	72.71	68.42	62.81	68.58	72.27	69.18	73.03	72.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
4.39E-06	71.65	57.67	83.56	100	76.03	61.12	57.65	58.74	60.51	59.82	64.35	57.65	60.68	65.61	57.65	65.65	70.41	66.26	60.83	66.41	69.99	66.99	70.71	70.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1.39E-05	69.99	56.36	67.2	76.03	100	95.81	56.4	57.47	59.23	58.52	62.96	56.4	59.38	64.19	56.4	64.23	68.89	64.82	59.51	64.97	68.47	65.54	69.18	69.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
4.39E-05	65.71	52.93	63.12	61.12	95.81	100	59.67	54.26	55.68	54.99	59.16	52.99	55.8	60.32	52.99	60.35	64.73	60.91	55.92	61.05	64.34	61.58	65	64.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
7.81E-05	61.95	49.91	59.53	57.65	56.4	59.67	100	52.9	52.55	51.88	55.81	50	52.65	56.91	49.99	56.94	61.07	57.46	52.76	57.6	60.7	58.1	61.32	61.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
0.0001389	63.1	50.85	60.65	58.74	57.47	54.26	52.9	100	59.11	52.86	56.86	50.94	53.65	57.99	50.94	58.02	62.22	58.55	53.76	58.69	61.85	59.2	62.48	62.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
0.000247	64.69	52.24	62.41	60.51	59.23	55.68	52.55	59.11	100	99.39	58.64	52.53	55.29	59.79	52.52	59.82	64.16	60.38	55.43	60.52	63.78	61.04	64.43	64.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
0.0004393	64.27	51.78	61.77	59.82	58.52	54.99	51.88	52.86	99.39	100	61.15	51.87	54.63	59.05	51.87	59.08	63.36	59.62	54.74	59.76	62.98	60.28	63.63	63.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
0.0007812	69.15	55.72	66.45	64.35	62.96	59.16	55.81	56.86	58.64	61.15	100	71.01	60.66	63.52	55.8	63.56	68.16	64.14	58.89	64.29	67.75	64.85	68.45	68.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
0.001234	61.95	49.91	59.53	57.65	56.4	52.99	50	50.94	52.53	51.87	71.01	100	58.94	56.91	49.99	56.94	61.06	57.46	52.75	57.59	60.7	58.09	61.32	61.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
0.001811	65.08	52.48	62.64	60.68	59.38	55.8	52.65	53.65	55.29	54.63	60.66	58.94	100	94.25	52.67	59.98	64.3	60.53	55.56	60.66	63.92	61.18	64.57	64.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
0.002658	70.47	56.79	67.75	65.61	64.19	60.32	56.91	57.99	59.79	59.05	63.52	56.91	94.25	100	76.98	73.47	69.51	65.41	60.05	65.56	69.09	66.13	69.8	69.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
0.003902	61.94	49.91	59.53	57.65	56.4	52.99	49.99	50.94	52.52	51.87	55.8	49.99	52.67	76.98	100	78.51	61.06	57.46	52.75	57.59	60.69	58.09	61.32	61.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
0.0045	70.54	56.84	67.79	65.65	64.23	60.35	56.94	58.02	59.82	59.08	63.56	56.94	59.98	73.47	78.51	100	82.3	65.44	60.08	65.59	69.12	66.16	69.83	69.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
0.00572726	75.66	60.96	72.71	70.41	68.89	64.73	61.07	62.22	64.16	63.36	68.16	61.06	64.3	69.51	61.06	82.3	100	73.97	64.43	70.35	74.13	70.95	74.9	74.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
0.00840646	71.2	57.37	68.42	66.26	64.82	60.91	57.46	58.55	60.38	59.62	64.14	57.46	60.53	65.41	57.46	65.44	73.97	100	70.49	66.2	69.76	66.77	70.48	70.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
0.012339	65.36	52.66	62.81	60.83	59.51	55.92	52.76	53.76	55.43	54.74	58.89	52.75	55.56	60.05	52.75	60.08	64.43	70.49	100	64.63	64.05	61.3	64.7	64.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
0.0181112	71.36	57.5	68.58	66.41	64.97	61.05	57.6	58.69	60.52	59.76	64.29	57.59	60.66	65.56	57.59	65.59	70.35	66.2	64.63	100	72.72	66.93	70.64	70.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
0.0265836	75.2	60.59	72.27	69.99	68.47	64.34	60.7	61.85	63.78	62.98	67.75	60.7	63.92	69.09	60.69	69.12	74.13	69.76	64.05	72.72	100	74.16	74.44	74.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
0.0390194	71.99	58	69.18	66.99	65.54	61.58	58.1	59.2	61.04	60.28	64.85	58.09	61.18	66.13	58.09	66.16	70.95	66.77	61.3	66.93	74.16	100	72.04	71.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
0.0572726	76.01	61.23	73.03	70.71	69.18	65	61.32	62.48	64.43	63.63	68.45	61.32	64.57	69.8	61.32	69.83	74.9	70.48	64.7	70.64	74.44	72.04	100	75.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
0.0840646	75.8	61.07	72.84	70.54	69.01	64.84	61.18	62.33	64.28	63.47	68.28	61.17	64.42	69.63	61.17	69.67	74.72	70.31	64.55	70.47	74.27	71.08	75.78	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	98.29	98.29	98.22	98.12	98.04	97.93	97.82	97.61	97.56	96.83	95.53	94.52	93.1	91.65	88.94	82.25	65.46	56.87	54.47	54.66	55.4	58.34	58.63	43.98	42.92	39.5	36.48	36.48	25
