#ZVView-data-copy:  18-Dec-2018 19:41:09
#=======================================
#
#name:   ENDF/B-VII.1: MN-55(N,G)MN-56
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  19833
#data...
#            X            Y
#          MeV        barns
       13.1834  0.000577522
       13.3694   0.00058736
          13.5  0.000594268
       13.6905  0.000603303
       13.8836  0.000612465
            14  0.000617986
       14.1975  0.000629618
       14.3978  0.000641415
          14.5  0.000647433
       14.7046  0.000652987
        14.912  0.000658619
            15  0.000661008
       15.2116  0.000665327
       15.4262  0.000669707
          15.5  0.000671213
