#ZVView-data-copy:  25-May-2018 11:02:18
#=======================================
#
#name:   MT18:LB5:Symmetric Matrix
#X.axis: Incident Energy
#Y.axis: Uncertainty
#wdata:  2
#ldata:  33
#data...
#            X            Y
#          MeV            %
          1e-7           21
        5.4e-7           15
          4e-6           15
     8.3153e-6           15
      1.371e-5           15
     2.2603e-5           15
     4.0169e-5           15
     6.7904e-5           15
     9.1661e-5           15
    0.00014863           15
    0.00030433           15
      0.000454           15
    0.00074852           15
     0.0012341           15
     0.0020347       20.009
     0.0033546       20.002
     0.0055308       30.002
     0.0091188           30
      0.015034       30.004
      0.024788       46.244
      0.040868       40.023
       0.06738           40
       0.11109           40
       0.18316       38.127
       0.30197       35.016
       0.49787           35
       0.82085           35
        1.3534           15
        2.2313       13.125
        3.6788       10.013
        6.0653       11.452
            10           15
            30           15
