#ZVView-data-copy:   8-Jul-2018 21:35:22
#=======================================
#
#name:   FPYC,U-235,ENDF/B-VII.1,Ei=0.0253eV
#X.axis: A
#Y.axis: Fission Product Yield
#wdata:  3
#ldata:  107
#data...
#            X            Y         +-dY
#       NO-DIM       PC/FIS       PC/FIS
            66   3.21902e-9   1.24127e-9
            67   1.42164e-8   5.77942e-9
            68   2.46545e-8   1.21351e-8
            69   6.51981e-8   3.37203e-8
            70   1.04255e-7   5.18824e-8
            71   2.93764e-7   1.45901e-7
            72    1.0763e-6   3.69194e-7
            73    4.6835e-6    2.0591e-6
            74   1.26602e-5   6.09717e-6
            75   4.21522e-5   6.27335e-6
            76   8.06856e-5   2.00562e-5
            77   0.00035765   6.00419e-5
            78  0.000802262  0.000126114
            79   0.00241821  0.000434545
            80   0.00383988  0.000267585
            81   0.00752904  0.000291383
            82   0.00749819   0.00204981
            83    0.0251362   0.00107524
            84    0.0323718   0.00207989
            85    0.0544829   0.00832388
            86    0.0633793   0.00465271
            87     0.105277   0.00147416
            88      0.12998   0.00314692
            89     0.198261   0.00259619
            90     0.285263    0.0817917
            91     0.300157    0.0610651
            92     0.244848   0.00316851
            93     0.375603    0.0572701
            94     0.207236   0.00250497
            95     0.319966   0.00717935
            96     0.183591    0.0206514
            97     0.302808    0.0151077
            98     0.210568    0.0352975
            99     0.376128    0.0136386
           100     0.187813    0.0424307
           101     0.238613   0.00437908
           102     0.190369    0.0374063
           103     0.174581    0.0110202
           104    0.0628761   0.00556589
           105    0.0540169   0.00398688
           106    0.0199671  0.000919897
           107   0.00857024   0.00202897
           108   0.00246842  0.000340548
           109   0.00217191   0.00126935
           110   0.00095674  0.000195907
           111   0.00108515  0.000233022
           112  0.000633582   8.73526e-5
           113  0.000761838  0.000102551
           114   0.00043078    9.3699e-5
           115  0.000766336   6.78945e-5
           116  0.000350932   9.33194e-5
           117  0.000643392  0.000124879
           118  0.000490195  0.000109703
           119  0.000469186  0.000107226
           120  0.000436512  0.000134328
           121  0.000519302  0.000245924
           122  0.000438836  0.000194151
           123  0.000564965  0.000113215
           124  0.000561289  0.000209284
           125   0.00130223   0.00010156
           126   0.00239198  0.000507407
           127   0.00708986  0.000481109
           128    0.0122512   0.00570603
           129    0.0276288   0.00412526
           130    0.0492938    0.0200121
           131     0.122837   0.00779452
           132     0.162968    0.0300009
           133      0.29958    0.0917751
           134      0.23819    0.0143701
           135     0.304858    0.0866171
           136     0.115841   0.00380229
           137     0.279551   0.00335804
           138     0.215481   0.00256354
           139     0.249945   0.00318348
           140     0.282024   0.00354821
           141     0.288306   0.00499876
           142     0.206118   0.00332352
           143     0.308442   0.00541695
           144      0.26816   0.00275925
           145     0.176558   0.00553223
           146     0.123255    0.0164238
           147     0.120112   0.00793731
           148    0.0532162     0.014433
           149    0.0517964   0.00241907
           150    0.0168654   0.00335694
           151    0.0211412   0.00206525
           152   0.00941698   0.00111731
           153   0.00664315  0.000730248
           154    0.0021673   0.00035282
           155   0.00146119  0.000221642
           156  0.000611326  0.000105711
