Upper E MeV	Fissions	Uncertainty	Error	Middle E			
5.00E-06	4.63E+05	1.03E+00	4.75E+05	2.50E-06			
2.75E-05	7.52E+05	1.20E-01	9.05E+04	1.63E-05			
9.70E-05	1.10E+06	8.33E-02	9.13E+04	6.23E-05			
3.05E-04	8.04E+05	5.98E-02	4.81E+04	2.01E-04			
1.15E-03	6.85E+05	4.76E-02	3.26E+04	7.27E-04			
3.90E-03	2.82E+06	3.23E-02	9.11E+04	2.52E-03			
5.70E-03	1.94E+06	3.91E-02	7.60E+04	4.80E-03			
8.03E-03	2.56E+06	3.64E-02	9.31E+04	6.87E-03			
9.50E-03	1.63E+06	3.72E-02	6.05E+04	8.77E-03			
1.30E-02	4.14E+06	3.60E-02	1.49E+05	1.12E-02			
1.70E-02	5.00E+06	3.52E-02	1.76E+05	1.50E-02			
2.00E-02	3.65E+06	5.30E-02	1.94E+05	1.85E-02			
3.00E-02	1.23E+07	3.82E-02	4.69E+05	2.50E-02			
4.50E-02	1.63E+07	3.17E-02	5.17E+05	3.75E-02			
5.00E-02	5.65E+06	3.45E-02	1.95E+05	4.75E-02			
5.20E-02	2.36E+06	3.07E-02	7.25E+04	5.10E-02			
6.00E-02	9.77E+06	3.11E-02	3.04E+05	5.60E-02			
7.30E-02	1.70E+07	3.18E-02	5.41E+05	6.65E-02			
7.50E-02	2.98E+06	3.39E-02	1.01E+05	7.40E-02			
8.20E-02	1.06E+07	3.12E-02	3.32E+05	7.85E-02			
8.50E-02	3.14E+06	3.00E-02	9.42E+04	8.35E-02			
1.00E-01	1.43E+07	2.90E-02	4.15E+05	9.25E-02			
1.28E-01	3.23E+07	2.96E-02	9.58E+05	1.14E-01			
1.49E-01	2.53E+07	2.99E-02	7.55E+05	1.39E-01			
2.00E-01	5.34E+07	2.98E-02	1.59E+06	1.74E-01			
2.70E-01	6.87E+07	2.94E-02	2.02E+06	2.35E-01			
3.30E-01	5.42E+07	2.78E-02	1.51E+06	3.00E-01			
4.00E-01	6.38E+07	2.78E-02	1.77E+06	3.65E-01			
4.20E-01	1.69E+07	2.78E-02	4.70E+05	4.10E-01			
4.40E-01	1.52E+07	2.76E-02	4.19E+05	4.30E-01			
4.70E-01	2.31E+07	2.81E-02	6.50E+05	4.55E-01			
4.92E-01	1.75E+07	2.74E-02	4.79E+05	4.81E-01			
5.50E-01	4.34E+07	2.74E-02	1.19E+06	5.21E-01			
5.73E-01	1.67E+07	2.84E-02	4.75E+05	5.61E-01			
6.00E-01	1.95E+07	2.89E-02	5.63E+05	5.86E-01			
6.70E-01	4.87E+07	2.77E-02	1.35E+06	6.35E-01			
6.79E-01	6.33E+06	2.81E-02	1.78E+05	6.75E-01			
7.50E-01	5.01E+07	2.79E-02	1.39E+06	7.15E-01			
8.20E-01	4.46E+07	2.80E-02	1.25E+06	7.85E-01			
8.61E-01	2.50E+07	2.93E-02	7.33E+05	8.41E-01			
8.75E-01	8.43E+06	2.87E-02	2.42E+05	8.68E-01			
9.00E-01	1.53E+07	2.86E-02	4.37E+05	8.88E-01			
9.20E-01	1.22E+07	2.92E-02	3.56E+05	9.10E-01			
1.01E+00	5.30E+07	3.01E-02	1.59E+06	9.65E-01			
1.10E+00	4.83E+07	3.23E-02	1.56E+06	1.06E+00			
1.20E+00	4.66E+07	3.41E-02	1.59E+06	1.15E+00			
1.25E+00	2.15E+07	3.10E-02	6.65E+05	1.22E+00			
1.32E+00	2.74E+07	3.16E-02	8.64E+05	1.28E+00			
1.36E+00	1.56E+07	3.18E-02	4.97E+05	1.34E+00			
1.40E+00	1.72E+07	3.18E-02	5.46E+05	1.38E+00			
1.50E+00	3.65E+07	3.18E-02	1.16E+06	1.45E+00			
1.85E+00	1.09E+08	3.00E-02	3.27E+06	1.68E+00			
2.35E+00	1.09E+08	3.36E-02	3.65E+06	2.10E+00			
2.48E+00	2.04E+07	3.61E-02	7.35E+05	2.42E+00			
3.00E+00	6.22E+07	3.65E-02	2.27E+06	2.74E+00			
4.30E+00	7.31E+07	4.23E-02	3.09E+06	3.65E+00			
4.80E+00	1.46E+07	3.70E-02	5.40E+05	4.55E+00			
6.43E+00	2.83E+07	3.38E-02	9.55E+05	5.62E+00			
8.19E+00	2.56E+07	2.91E-02	7.46E+05	7.31E+00			
1.00E+01	1.92E+07	4.00E-02	7.67E+05	9.09E+00			
1.28E+01	2.23E+07	5.18E-02	1.16E+06	1.14E+01			
1.38E+01	2.49E+07	5.38E-02	1.34E+06	1.33E+01			
1.46E+01	3.88E+08	4.40E-02	1.71E+07	1.42E+01			
							
							
							
