A, Mass Sum Yield, Uncert Total

  2.07e-007 MeV.
  77, 4.0000e-04, 4.0000e-04
  78, 9.0000e-04, 9.0000e-04
  79, 3.6000e-03, 3.6000e-03
  80, 1.3300e-02, 1.2210e-02
  81, 3.5500e-02, 2.7260e-02
  82, 8.5100e-02, 5.2450e-02
  83, 1.3100e-01, 8.7360e-02
  84, 2.7480e-01, 1.4172e-01
  85, 4.9220e-01, 2.0011e-01
  86, 1.0115e+00, 3.3994e-01
  87, 1.5573e+00, 4.0306e-01
  88, 2.5129e+00, 5.5766e-01
  89, 3.3821e+00, 7.0015e-01
  90, 4.8877e+00, 8.6526e-01
  91, 5.4414e+00, 8.6795e-01
  92, 6.0858e+00, 8.6087e-01
  93, 5.5928e+00, 8.7241e-01
  94, 6.0870e+00, 9.0619e-01
  95, 6.0563e+00, 9.2274e-01
  96, 6.4675e+00, 9.3639e-01
  97, 5.7559e+00, 6.7491e-01
  98, 5.8005e+00, 4.9092e-01
  99, 5.8394e+00, 3.9768e-01
 100, 6.5330e+00, 7.8204e-01
 101, 6.4461e+00, 1.2822e+00
 102, 6.2964e+00, 1.6310e+00
 103, 4.8692e+00, 1.6244e+00
 104, 3.6908e+00, 1.4585e+00
 105, 2.3937e+00, 1.1311e+00
 106, 1.3637e+00, 7.6960e-01
 107, 5.4640e-01, 3.7353e-01
 108, 2.2810e-01, 1.8102e-01
 109, 6.2100e-02, 6.2100e-02
 110, 2.2000e-02, 2.2000e-02
 111, 6.1000e-03, 6.1000e-03
 112, 4.5000e-03, 3.8300e-03
 113, 4.9000e-03, 3.9800e-03
 114, 5.0000e-03, 4.7600e-03
 115, 4.3000e-03, 4.3000e-03
 116, 6.1000e-03, 5.7600e-03
 117, 4.4000e-03, 4.2900e-03
 118, 5.3000e-03, 4.3400e-03
 119, 5.3000e-03, 4.2200e-03
 120, 5.6000e-03, 4.7700e-03
 121, 3.6000e-03, 3.6000e-03
 122, 4.2000e-03, 3.2800e-03
 123, 3.0000e-03, 3.0000e-03
 124, 2.8000e-03, 2.8000e-03
 125, 1.6000e-03, 1.6000e-03
 126, 5.3000e-03, 5.3000e-03
 127, 1.8100e-02, 1.8100e-02
 128, 7.4800e-02, 7.4030e-02
 129, 2.1730e-01, 1.9158e-01
 130, 6.7300e-01, 4.7857e-01
 131, 1.4699e+00, 8.1789e-01
 132, 2.9162e+00, 1.2494e+00
 133, 4.0795e+00, 1.5613e+00
 134, 6.1775e+00, 1.9460e+00
 135, 6.6737e+00, 1.5207e+00
 136, 7.0625e+00, 1.0535e+00
 137, 6.1556e+00, 5.7309e-01
 138, 5.7376e+00, 3.6161e-01
 139, 5.7370e+00, 5.7781e-01
 140, 6.4893e+00, 8.6829e-01
 141, 5.7667e+00, 8.5771e-01
 142, 5.8867e+00, 9.3745e-01
 143, 5.4670e+00, 8.1178e-01
 144, 5.8663e+00, 8.2346e-01
 145, 5.4985e+00, 8.0953e-01
 146, 5.3904e+00, 9.0444e-01
 147, 3.9721e+00, 7.0822e-01
 148, 3.1292e+00, 6.1445e-01
 149, 2.2450e+00, 5.1169e-01
 150, 1.5729e+00, 4.0294e-01
 151, 8.4160e-01, 2.9599e-01
 152, 4.4150e-01, 1.9070e-01
 153, 2.1020e-01, 8.8320e-02
 154, 1.0940e-01, 6.1950e-02
 155, 4.7900e-02, 2.8290e-02
 156, 2.3700e-02, 1.8950e-02
 157, 7.7000e-03, 7.7000e-03
 158, 2.2000e-03, 2.2000e-03
 159, 5.0000e-04, 5.0000e-04
 160, 1.0000e-04, 1.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  7.696e-007 MeV.
  77, 5.0000e-04, 5.0000e-04
  78, 1.0000e-03, 1.0000e-03
  79, 5.1000e-03, 5.1000e-03
  80, 1.4100e-02, 1.4100e-02
  81, 4.0000e-02, 4.0000e-02
  82, 8.9900e-02, 7.9500e-02
  83, 1.3040e-01, 1.2015e-01
  84, 2.6010e-01, 1.9257e-01
  85, 5.0880e-01, 2.3214e-01
  86, 1.0236e+00, 3.0981e-01
  87, 1.5681e+00, 3.4196e-01
  88, 2.5371e+00, 5.0453e-01
  89, 3.3959e+00, 6.6813e-01
  90, 4.8653e+00, 9.2618e-01
  91, 5.4572e+00, 9.7471e-01
  92, 6.0215e+00, 1.1041e+00
  93, 5.5995e+00, 1.1089e+00
  94, 6.0221e+00, 1.1702e+00
  95, 6.0996e+00, 1.1714e+00
  96, 6.5220e+00, 1.1790e+00
  97, 5.7661e+00, 9.5807e-01
