Lower E,Upper E,Mid E
0,5.00E-06,2.50E-06
5.00E-06,2.75E-05,1.63E-05
2.75E-05,9.70E-05,6.23E-05
9.70E-05,3.05E-04,2.01E-04
3.05E-04,1.15E-03,7.27E-04
1.15E-03,3.90E-03,2.52E-03
3.90E-03,5.70E-03,4.80E-03
5.70E-03,8.03E-03,6.87E-03
8.03E-03,9.50E-03,8.77E-03
9.50E-03,1.30E-02,1.12E-02
1.30E-02,1.70E-02,1.50E-02
1.70E-02,2.00E-02,1.85E-02
2.00E-02,3.00E-02,2.50E-02
3.00E-02,4.50E-02,3.75E-02
4.50E-02,5.00E-02,4.75E-02
5.00E-02,5.20E-02,5.10E-02
5.20E-02,6.00E-02,5.60E-02
6.00E-02,7.30E-02,6.65E-02
7.30E-02,7.50E-02,7.40E-02
7.50E-02,8.20E-02,7.85E-02
8.20E-02,8.50E-02,8.35E-02
8.50E-02,1.00E-01,9.25E-02
1.00E-01,1.28E-01,1.14E-01
1.28E-01,1.49E-01,1.39E-01
1.49E-01,2.00E-01,1.74E-01
2.00E-01,2.70E-01,2.35E-01
2.70E-01,3.30E-01,3.00E-01
3.30E-01,4.00E-01,3.65E-01
4.00E-01,4.20E-01,4.10E-01
4.20E-01,4.40E-01,4.30E-01
4.40E-01,4.70E-01,4.55E-01
4.70E-01,4.92E-01,4.81E-01
4.92E-01,5.50E-01,5.21E-01
5.50E-01,5.73E-01,5.61E-01
5.73E-01,6.00E-01,5.86E-01
6.00E-01,6.70E-01,6.35E-01
6.70E-01,6.79E-01,6.75E-01
6.79E-01,7.50E-01,7.15E-01
7.50E-01,8.20E-01,7.85E-01
8.20E-01,8.61E-01,8.41E-01
8.61E-01,8.75E-01,8.68E-01
8.75E-01,9.00E-01,8.88E-01
9.00E-01,9.20E-01,9.10E-01
9.20E-01,1.01E+00,9.65E-01
1.01E+00,1.10E+00,1.06E+00
1.10E+00,1.20E+00,1.15E+00
1.20E+00,1.25E+00,1.22E+00
1.25E+00,1.32E+00,1.28E+00
1.32E+00,1.36E+00,1.34E+00
1.36E+00,1.40E+00,1.38E+00
1.40E+00,1.50E+00,1.45E+00
1.50E+00,1.85E+00,1.68E+00
1.85E+00,2.35E+00,2.10E+00
2.35E+00,2.48E+00,2.42E+00
2.48E+00,3.00E+00,2.74E+00
3.00E+00,4.30E+00,3.65E+00
4.30E+00,4.80E+00,4.55E+00
4.80E+00,6.43E+00,5.62E+00
6.43E+00,8.19E+00,7.31E+00
8.19E+00,1.00E+01,9.09E+00
1.00E+01,1.28E+01,1.14E+01
1.28E+01,1.38E+01,1.33E+01
1.38E+01,1.46E+01,1.42E+01
1.46E+01,1.57E+01,1.51E+01
1.57E+01,1.73E+01,1.65E+01
1.73E+01,2.00E+01,1.87E+01
