SC45G   SCNG  IFX   10.00  4.00530245212243E+22  ATN = (2.99 × N_a × 1      ) / (44.955912)
FE58G   FE2B  BFX   20.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FE2A  BWX   20.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FEN1  IFX   20.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FE31  IFX   31.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FENG  IWX   20.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FE24  IWX   24.20  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
FE58G   FE62  IWX   62.00  8.48674938710717E+22  ATN = (7.87 × N_a × 1      ) / (55.845)
CO59G   COB2  BFX    2.00  9.05367031761981E+22  ATN = (8.86 × N_a × 1      ) / (58.933195)
CO59G   CO05  IFX    0.50  9.05367031761981E+22  ATN = (8.86 × N_a × 1      ) / (58.933195)
CO59G   CO10  IFX   10.00  9.05367031761981E+22  ATN = (8.86 × N_a × 1      ) / (58.933195)
CO59G   CO.1  IWX   17.20  1.05022575684390E+20  ATN = (8.86 × N_a × 0.00116) / (58.933195)
CO59G   CONG  IWX   20.00  9.05367031761981E+22  ATN = (8.86 × N_a × 1      ) / (58.933195)
CU63G   CUNG  IWX   20.00  8.49123248645076E+22  ATN = (8.96 × N_a × 1      ) / (63.546)
NB93G   NBNG  IWX   20.00  5.55502763699328E+22  ATN = (8.57 × N_a × 1      ) / (92.90638)
IN115G  IN14  BFX    2.00  3.83405501140065E+22  ATN = (7.31 × N_a × 1      ) / (114.818)
IN115G  INNG  IFX    5.00  3.83405501140065E+22  ATN = (7.31 × N_a × 1      ) / (114.818)
AU197G  AUB1  BFX    1.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
AU197G  AUB2  BFX    2.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
AU197G  AU14  BWX   25.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
AU197G  AUF1  IFX    1.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
AU197G  AUF2  IFX    2.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
AU197G  AUAL  IWX   20.00  7.96616868068357E+19  ATN = (19.3 × N_a × 0.00135) / (196.966569)
AU197G  AUNG  IWX   40.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
U235F   U5I4  IFX    4.40  4.83230791751304E+22  ATN = (19.1 × N_a × 1      ) / (238.02891)
U235F   U235  IFX   10.00  4.83230791751304E+22  ATN = (19.1 × N_a × 1      ) / (238.02891)
U238G   U238  IFX    4.50  4.83230791751304E+22  ATN = (19.1 × N_a × 1      ) / (238.02891)
