   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 6.30000E-07	 9.66845E-13	 9.53808E-13
 9.20000E-06	 9.66845E-13	 9.53808E-13
 9.20000E-06	 6.46234E-11	 6.37520E-11
 1.35000E-05	 6.46234E-11	 6.37520E-11
 1.35000E-05	 2.54223E-10	 2.50795E-10
 2.10000E-05	 2.54223E-10	 2.50795E-10
 2.10000E-05	 2.99725E-10	 2.95683E-10
 3.00000E-05	 2.99725E-10	 2.95683E-10
 3.00000E-05	 5.30165E-10	 5.23016E-10
 4.50000E-05	 5.30165E-10	 5.23016E-10
 4.50000E-05	 2.77814E-09	 2.74068E-09
 6.90000E-05	 2.77814E-09	 2.74068E-09
 6.90000E-05	 8.00005E-09	 8.33956E-09
 1.00000E-04	 8.00005E-09	 8.33956E-09
 1.00000E-04	 1.02648E-08	 1.12731E-08
 1.35000E-04	 1.02648E-08	 1.12731E-08
 1.35000E-04	 1.08551E-08	 1.18131E-08
 1.70000E-04	 1.08551E-08	 1.18131E-08
 1.70000E-04	 1.21215E-08	 1.30804E-08
 2.20000E-04	 1.21215E-08	 1.30804E-08
 2.20000E-04	 1.60073E-08	 1.71158E-08
 2.80000E-04	 1.60073E-08	 1.71158E-08
 2.80000E-04	 2.40761E-08	 2.55148E-08
 3.60000E-04	 2.40761E-08	 2.55148E-08
 3.60000E-04	 2.34587E-08	 2.46560E-08
 4.50000E-04	 2.34587E-08	 2.46560E-08
 4.50000E-04	 2.68564E-08	 2.80158E-08
 5.75000E-04	 2.68564E-08	 2.80158E-08
 5.75000E-04	 3.26984E-08	 3.38529E-08
 7.60000E-04	 3.26984E-08	 3.38529E-08
 7.60000E-04	 3.22549E-08	 3.31789E-08
 9.60000E-04	 3.22549E-08	 3.31789E-08
 9.60000E-04	 3.92772E-08	 4.02007E-08
 1.27500E-03	 3.92772E-08	 4.02007E-08
 1.27500E-03	 4.88867E-08	 4.98483E-08
 1.60000E-03	 4.88867E-08	 4.98483E-08
 1.60000E-03	 5.76149E-08	 5.85992E-08
 2.00000E-03	 5.76149E-08	 5.85992E-08
 2.00000E-03	 7.61426E-08	 7.72499E-08
