IN115G  IFX  3.937E+01 129INNG   3.83400E+22
 9.0955659E-02 2.5991902E-01 4.5283001E-01 5.4204657E-01 6.0265560E-01 6.4434965E-01
 6.6079657E-01 6.7963826E-01 6.8498928E-01 6.6815803E-01 5.9787019E-01 2.7465022E-01
 2.1651075E-02 6.5245181E-01 3.6929774E-01 9.4989325E-01 2.2393285E-01 6.7688263E-01
 9.9626591E-01 5.7916251E-01 4.5180173E-01 8.6501287E-01 6.6137363E-01 7.9991461E-01
 6.8783768E-01 6.3251010E-01 6.6882681E-01 7.3925633E-01 8.1581749E-01 8.4695843E-01
 8.9941127E-01 8.9640637E-01 9.0958226E-01 9.5217819E-01 9.1953414E-01 9.7493354E-01
 9.7805692E-01 9.8062479E-01 9.8267807E-01 9.8429013E-01 9.8587947E-01 9.8687051E-01
 9.8856088E-01 9.8932667E-01 9.9058393E-01 9.9144609E-01 9.9234594E-01 9.9315350E-01
 9.9396636E-01 9.9468450E-01 9.9535940E-01 9.9580553E-01 9.9621586E-01 9.9651755E-01
 9.9673458E-01 9.9692331E-01 9.9707519E-01 9.9715520E-01 9.9726353E-01 9.9732914E-01
 9.9738288E-01 9.9742301E-01 9.9744215E-01 9.9744856E-01 9.9744464E-01 9.9742882E-01
 9.9740780E-01 9.9737945E-01 9.9733470E-01 9.9729286E-01 9.9722271E-01 9.9719589E-01
 9.9728541E-01 9.9749343E-01 9.9776811E-01 9.9816881E-01 9.9855255E-01 9.9897800E-01
 9.9923847E-01 9.9971812E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00
AU197G  IFX  3.937E+00 129AUNG   5.90100E+22
 5.2571011E-01 7.5685396E-01 8.6786537E-01 9.0109627E-01 9.2121534E-01 9.3465914E-01
 9.4027008E-01 9.4803067E-01 9.5409451E-01 9.5878424E-01 9.6184178E-01 9.6309276E-01
