   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 2.35823E+02	 2.29059E+02
 1.00000E-08	 2.35823E+02	 2.29059E+02
 1.00000E-08	 1.98209E+03	 1.91061E+03
 2.30000E-08	 1.98209E+03	 1.91061E+03
 2.30000E-08	 9.25439E+03	 8.82626E+03
 5.00000E-08	 9.25439E+03	 8.82626E+03
 5.00000E-08	 2.04157E+04	 1.91994E+04
 7.60000E-08	 2.04157E+04	 1.91994E+04
 7.60000E-08	 3.54979E+04	 3.28921E+04
 1.15000E-07	 3.54979E+04	 3.28921E+04
 1.15000E-07	 8.46768E+04	 7.69912E+04
 1.70000E-07	 8.46768E+04	 7.69912E+04
 1.70000E-07	 1.36426E+05	 1.21557E+05
 2.55000E-07	 1.36426E+05	 1.21557E+05
 2.55000E-07	 1.95679E+05	 1.70226E+05
 3.80000E-07	 1.95679E+05	 1.70226E+05
 3.80000E-07	 2.69494E+05	 2.31493E+05
 5.50000E-07	 2.69494E+05	 2.31493E+05
 5.50000E-07	 3.21798E+05	 2.71638E+05
 8.40000E-07	 3.21798E+05	 2.71638E+05
 8.40000E-07	 3.23707E+05	 2.69622E+05
 1.27500E-06	 3.23707E+05	 2.69622E+05
 1.27500E-06	 2.93040E+05	 2.41987E+05
 1.90000E-06	 2.93040E+05	 2.41987E+05
 1.90000E-06	 1.33466E+06	 1.09907E+06
 2.80000E-06	 1.33466E+06	 1.09907E+06
 2.80000E-06	 1.06783E+06	 8.89652E+05
 4.25000E-06	 1.06783E+06	 8.89652E+05
 4.25000E-06	 1.18299E+06	 1.01051E+06
 6.30000E-06	 1.18299E+06	 1.01051E+06
 6.30000E-06	 1.88299E+06	 1.66827E+06
 9.20000E-06	 1.88299E+06	 1.66827E+06
 9.20000E-06	 2.94911E+06	 2.73946E+06
 1.35000E-05	 2.94911E+06	 2.73946E+06
 1.35000E-05	 2.11245E+06	 2.06578E+06
 2.10000E-05	 2.11245E+06	 2.06578E+06
 2.10000E-05	 4.70799E+06	 4.62250E+06
 3.00000E-05	 4.70799E+06	 4.62250E+06
 3.00000E-05	 6.20085E+06	 6.11016E+06
 4.50000E-05	 6.20085E+06	 6.11016E+06
 4.50000E-05	 7.15658E+06	 7.07053E+06
 6.90000E-05	 7.15658E+06	 7.07053E+06
 6.90000E-05	 8.64558E+06	 8.55854E+06
 1.00000E-04	 8.64558E+06	 8.55854E+06
 1.00000E-04	 8.69682E+06	 8.62240E+06
 1.35000E-04	 8.69682E+06	 8.62240E+06
 1.35000E-04	 9.30783E+06	 9.23654E+06
 1.70000E-04	 9.30783E+06	 9.23654E+06
 1.70000E-04	 1.21354E+07	 1.20611E+07
 2.20000E-04	 1.21354E+07	 1.20611E+07
 2.20000E-04	 1.46042E+07	 1.45263E+07
 2.80000E-04	 1.46042E+07	 1.45263E+07
 2.80000E-04	 8.21361E+06	 8.17875E+06
