energy (eV)     n/eV
      1.2600E+07    3.2614E-11
      1.2610E+07    3.7630E-11
      1.2620E+07    4.3375E-11
      1.2630E+07    4.9949E-11
      1.2640E+07    5.7463E-11
      1.2650E+07    6.6043E-11
      1.2660E+07    7.5829E-11
      1.2670E+07    8.6981E-11
      1.2680E+07    9.9676E-11
      1.2690E+07    1.1411E-10
      1.2700E+07    1.3051E-10
      1.2710E+07    1.4912E-10
      1.2720E+07    1.7022E-10
      1.2730E+07    1.9411E-10
      1.2740E+07    2.2114E-10
      1.2750E+07    2.5169E-10
      1.2760E+07    2.8618E-10
      1.2770E+07    3.2507E-10
      1.2780E+07    3.6890E-10
      1.2790E+07    4.1822E-10
      1.2800E+07    4.7367E-10
      1.2810E+07    5.3596E-10
      1.2820E+07    6.0584E-10
      1.2830E+07    6.8416E-10
      1.2840E+07    7.7186E-10
      1.2850E+07    8.6994E-10
      1.2860E+07    9.7954E-10
      1.2870E+07    1.1019E-09
      1.2880E+07    1.2383E-09
      1.2890E+07    1.3902E-09
      1.2900E+07    1.5592E-09
      1.2910E+07    1.7471E-09
      1.2920E+07    1.9557E-09
      1.2930E+07    2.1870E-09
      1.2940E+07    2.4434E-09
      1.2950E+07    2.7271E-09
      1.2960E+07    3.0409E-09
      1.2970E+07    3.3873E-09
      1.2980E+07    3.7696E-09
      1.2990E+07    4.1910E-09
      1.3000E+07    4.6549E-09
      1.3010E+07    5.1651E-09
      1.3020E+07    5.7256E-09
      1.3030E+07    6.3408E-09
      1.3040E+07    7.0152E-09
      1.3050E+07    7.7537E-09
      1.3060E+07    8.5617E-09
      1.3070E+07    9.4446E-09
      1.3080E+07    1.0408E-08
      1.3090E+07    1.1459E-08
      1.3100E+07    1.2604E-08
      1.3110E+07    1.3850E-08
      1.3120E+07    1.5203E-08
      1.3130E+07    1.6673E-08
      1.3140E+07    1.8267E-08
      1.3150E+07    1.9994E-08
      1.3160E+07    2.1863E-08
      1.3170E+07    2.3883E-08
      1.3180E+07    2.6065E-08
      1.3190E+07    2.8417E-08
      1.3200E+07    3.0952E-08
      1.3210E+07    3.3681E-08
      1.3220E+07    3.6614E-08
      1.3230E+07    3.9763E-08
      1.3240E+07    4.3141E-08
      1.3250E+07    4.6761E-08
      1.3260E+07    5.0635E-08
      1.3270E+07    5.4776E-08
      1.3280E+07    5.9198E-08
      1.3290E+07    6.3915E-08
      1.3300E+07    6.8940E-08
      1.3310E+07    7.4287E-08
      1.3320E+07    7.9971E-08
      1.3330E+07    8.6007E-08
      1.3340E+07    9.2407E-08
      1.3350E+07    9.9186E-08
      1.3360E+07    1.0636E-07
      1.3370E+07    1.1394E-07
      1.3380E+07    1.2194E-07
      1.3390E+07    1.3038E-07
      1.3400E+07    1.3926E-07
      1.3410E+07    1.4861E-07
      1.3420E+07    1.5842E-07
      1.3430E+07    1.6872E-07
      1.3440E+07    1.7952E-07
      1.3450E+07    1.9081E-07
      1.3460E+07    2.0262E-07
      1.3470E+07    2.1496E-07
      1.3480E+07    2.2782E-07
      1.3490E+07    2.4121E-07
      1.3500E+07    2.5514E-07
      1.3510E+07    2.6962E-07
      1.3520E+07    2.8463E-07
      1.3530E+07    3.0019E-07
